行政區,年,月,年齡,男,女,合計
三峽區,112,4,0歲,328,305,633
三峽區,112,4,1歲,404,359,763
三峽區,112,4,2歲,447,367,814
三峽區,112,4,3歲,485,488,973
三峽區,112,4,4歲,570,491,1061
三峽區,112,4,5歲,541,507,1048
三峽區,112,4,6歲,588,541,1129
三峽區,112,4,7歲,632,583,1215
三峽區,112,4,8歲,621,550,1171
三峽區,112,4,9歲,542,519,1061
三峽區,112,4,10歲,658,586,1244
三峽區,112,4,11歲,584,553,1137
三峽區,112,4,12歲,532,471,1003
三峽區,112,4,13歲,554,502,1056
三峽區,112,4,14歲,611,537,1148
三峽區,112,4,15歲,615,546,1161
三峽區,112,4,16歲,565,563,1128
三峽區,112,4,17歲,563,520,1083
三峽區,112,4,18歲,588,562,1150
三峽區,112,4,19歲,651,518,1169
三峽區,112,4,20歲,686,615,1301
三峽區,112,4,21歲,714,656,1370
三峽區,112,4,22歲,853,752,1605
三峽區,112,4,23歲,840,731,1571
三峽區,112,4,24歲,724,710,1434
三峽區,112,4,25歲,855,743,1598
三峽區,112,4,26歲,912,778,1690
三峽區,112,4,27歲,884,811,1695
三峽區,112,4,28歲,907,792,1699
三峽區,112,4,29歲,880,765,1645
三峽區,112,4,30歲,853,748,1601
三峽區,112,4,31歲,811,824,1635
三峽區,112,4,32歲,847,758,1605
三峽區,112,4,33歲,796,758,1554
三峽區,112,4,34歲,821,714,1535
三峽區,112,4,35歲,730,785,1515
三峽區,112,4,36歲,768,734,1502
三峽區,112,4,37歲,779,775,1554
三峽區,112,4,38歲,827,804,1631
三峽區,112,4,39歲,837,946,1783
三峽區,112,4,40歲,906,945,1851
三峽區,112,4,41歲,889,984,1873
三峽區,112,4,42歲,928,1031,1959
三峽區,112,4,43歲,959,964,1923
三峽區,112,4,44歲,920,1099,2019
三峽區,112,4,45歲,931,1012,1943
三峽區,112,4,46歲,1002,1054,2056
三峽區,112,4,47歲,917,949,1866
三峽區,112,4,48歲,924,948,1872
三峽區,112,4,49歲,872,903,1775
三峽區,112,4,50歲,891,911,1802
三峽區,112,4,51歲,858,893,1751
三峽區,112,4,52歲,878,999,1877
三峽區,112,4,53歲,893,978,1871
三峽區,112,4,54歲,876,980,1856
三峽區,112,4,55歲,884,887,1771
三峽區,112,4,56歲,895,938,1833
三峽區,112,4,57歲,936,957,1893
三峽區,112,4,58歲,908,950,1858
三峽區,112,4,59歲,984,918,1902
三峽區,112,4,60歲,839,963,1802
三峽區,112,4,61歲,872,872,1744
三峽區,112,4,62歲,782,809,1591
三峽區,112,4,63歲,811,843,1654
三峽區,112,4,64歲,779,815,1594
三峽區,112,4,65歲,678,711,1389
三峽區,112,4,66歲,695,735,1430
三峽區,112,4,67歲,673,661,1334
三峽區,112,4,68歲,588,710,1298
三峽區,112,4,69歲,557,526,1083
三峽區,112,4,70歲,565,599,1164
三峽區,112,4,71歲,538,619,1157
三峽區,112,4,72歲,414,484,898
三峽區,112,4,73歲,334,393,727
三峽區,112,4,74歲,339,408,747
三峽區,112,4,75歲,262,291,553
三峽區,112,4,76歲,201,268,469
三峽區,112,4,77歲,160,198,358
三峽區,112,4,78歲,205,248,453
三峽區,112,4,79歲,187,250,437
三峽區,112,4,80歲,169,236,405
三峽區,112,4,81歲,178,213,391
三峽區,112,4,82歲,169,180,349
三峽區,112,4,83歲,126,207,333
三峽區,112,4,84歲,130,178,308
三峽區,112,4,85歲,112,161,273
三峽區,112,4,86歲,89,137,226
三峽區,112,4,87歲,79,128,207
三峽區,112,4,88歲,73,109,182
三峽區,112,4,89歲,50,93,143
三峽區,112,4,90歲,57,60,117
三峽區,112,4,91歲,39,62,101
三峽區,112,4,92歲,48,46,94
三峽區,112,4,93歲,35,43,78
三峽區,112,4,94歲,23,27,50
三峽區,112,4,95歲,22,22,44
三峽區,112,4,96歲,15,24,39
三峽區,112,4,97歲,11,11,22
三峽區,112,4,98歲,12,9,21
三峽區,112,4,99歲,4,8,12
三峽區,112,4,100歲以上,13,8,21
總計,,,,57587,57932,115519


              
