行政區,年,月,年齡,男,女,合計
三芝區,112,7,0歲,40,33,73
三芝區,112,7,1歲,61,44,105
三芝區,112,7,2歲,46,45,91
三芝區,112,7,3歲,52,58,110
三芝區,112,7,4歲,68,55,123
三芝區,112,7,5歲,51,55,106
三芝區,112,7,6歲,57,54,111
三芝區,112,7,7歲,65,71,136
三芝區,112,7,8歲,56,64,120
三芝區,112,7,9歲,75,65,140
三芝區,112,7,10歲,80,63,143
三芝區,112,7,11歲,65,62,127
三芝區,112,7,12歲,60,42,102
三芝區,112,7,13歲,74,56,130
三芝區,112,7,14歲,70,68,138
三芝區,112,7,15歲,73,86,159
三芝區,112,7,16歲,82,84,166
三芝區,112,7,17歲,86,86,172
三芝區,112,7,18歲,96,89,185
三芝區,112,7,19歲,106,102,208
三芝區,112,7,20歲,102,110,212
三芝區,112,7,21歲,129,118,247
三芝區,112,7,22歲,149,143,292
三芝區,112,7,23歲,144,125,269
三芝區,112,7,24歲,142,127,269
三芝區,112,7,25歲,170,131,301
三芝區,112,7,26歲,175,149,324
三芝區,112,7,27歲,149,154,303
三芝區,112,7,28歲,196,156,352
三芝區,112,7,29歲,196,153,349
三芝區,112,7,30歲,179,141,320
三芝區,112,7,31歲,159,133,292
三芝區,112,7,32歲,158,114,272
三芝區,112,7,33歲,149,115,264
三芝區,112,7,34歲,110,114,224
三芝區,112,7,35歲,148,122,270
三芝區,112,7,36歲,127,114,241
三芝區,112,7,37歲,112,101,213
三芝區,112,7,38歲,149,119,268
三芝區,112,7,39歲,153,141,294
三芝區,112,7,40歲,142,138,280
三芝區,112,7,41歲,153,156,309
三芝區,112,7,42歲,175,161,336
三芝區,112,7,43歲,159,157,316
三芝區,112,7,44歲,166,176,342
三芝區,112,7,45歲,155,146,301
三芝區,112,7,46歲,192,135,327
三芝區,112,7,47歲,145,133,278
三芝區,112,7,48歲,150,149,299
三芝區,112,7,49歲,182,163,345
三芝區,112,7,50歲,166,151,317
三芝區,112,7,51歲,172,173,345
三芝區,112,7,52歲,192,208,400
三芝區,112,7,53歲,224,191,415
三芝區,112,7,54歲,214,212,426
三芝區,112,7,55歲,206,187,393
三芝區,112,7,56歲,213,190,403
三芝區,112,7,57歲,177,197,374
三芝區,112,7,58歲,232,204,436
三芝區,112,7,59歲,201,221,422
三芝區,112,7,60歲,231,214,445
三芝區,112,7,61歲,219,185,404
三芝區,112,7,62歲,206,198,404
三芝區,112,7,63歲,208,184,392
三芝區,112,7,64歲,190,175,365
三芝區,112,7,65歲,177,165,342
三芝區,112,7,66歲,190,166,356
三芝區,112,7,67歲,210,174,384
三芝區,112,7,68歲,194,152,346
三芝區,112,7,69歲,154,159,313
三芝區,112,7,70歲,147,151,298
三芝區,112,7,71歲,159,144,303
三芝區,112,7,72歲,140,142,282
三芝區,112,7,73歲,122,110,232
三芝區,112,7,74歲,98,118,216
三芝區,112,7,75歲,78,78,156
三芝區,112,7,76歲,73,73,146
三芝區,112,7,77歲,36,42,78
三芝區,112,7,78歲,65,69,134
三芝區,112,7,79歲,48,80,128
三芝區,112,7,80歲,56,74,130
三芝區,112,7,81歲,57,71,128
三芝區,112,7,82歲,59,60,119
三芝區,112,7,83歲,59,58,117
三芝區,112,7,84歲,32,50,82
三芝區,112,7,85歲,27,45,72
三芝區,112,7,86歲,27,41,68
三芝區,112,7,87歲,34,36,70
三芝區,112,7,88歲,23,43,66
三芝區,112,7,89歲,19,25,44
三芝區,112,7,90歲,9,26,35
三芝區,112,7,91歲,20,22,42
三芝區,112,7,92歲,9,26,35
三芝區,112,7,93歲,18,18,36
三芝區,112,7,94歲,15,19,34
三芝區,112,7,95歲,3,9,12
三芝區,112,7,96歲,4,6,10
三芝區,112,7,97歲,3,2,5
三芝區,112,7,98歲,3,3,6
三芝區,112,7,99歲,0,5,5
三芝區,112,7,100歲以上,3,5,8
總計,,,,11400,10733,22133


              
