行政區,年,月,年齡,男,女,合計
三重區,112,11,0歲,945,783,1728
三重區,112,11,1歲,1039,1047,2086
三重區,112,11,2歲,1213,1154,2367
三重區,112,11,3歲,1257,1177,2434
三重區,112,11,4歲,1351,1262,2613
三重區,112,11,5歲,1377,1339,2716
三重區,112,11,6歲,1547,1430,2977
三重區,112,11,7歲,1596,1539,3135
三重區,112,11,8歲,1657,1467,3124
三重區,112,11,9歲,1574,1555,3129
三重區,112,11,10歲,1478,1387,2865
三重區,112,11,11歲,1620,1589,3209
三重區,112,11,12歲,1404,1355,2759
三重區,112,11,13歲,1262,1204,2466
三重區,112,11,14歲,1437,1378,2815
三重區,112,11,15歲,1536,1348,2884
三重區,112,11,16歲,1559,1479,3038
三重區,112,11,17歲,1649,1438,3087
三重區,112,11,18歲,1604,1505,3109
三重區,112,11,19歲,1807,1571,3378
三重區,112,11,20歲,1776,1643,3419
三重區,112,11,21歲,1986,1748,3734
三重區,112,11,22歲,2126,1888,4014
三重區,112,11,23歲,2402,2232,4634
三重區,112,11,24歲,2340,2118,4458
三重區,112,11,25歲,2116,2033,4149
三重區,112,11,26歲,2550,2396,4946
三重區,112,11,27歲,2592,2306,4898
三重區,112,11,28歲,2608,2555,5163
三重區,112,11,29歲,2711,2335,5046
三重區,112,11,30歲,2718,2535,5253
三重區,112,11,31歲,2800,2523,5323
三重區,112,11,32歲,2769,2567,5336
三重區,112,11,33歲,2950,2742,5692
三重區,112,11,34歲,2746,2525,5271
三重區,112,11,35歲,3058,2881,5939
三重區,112,11,36歲,2745,2572,5317
三重區,112,11,37歲,2762,2620,5382
三重區,112,11,38歲,3022,2940,5962
三重區,112,11,39歲,3175,3150,6325
三重區,112,11,40歲,3343,3337,6680
三重區,112,11,41歲,3496,3448,6944
三重區,112,11,42歲,3537,3669,7206
三重區,112,11,43歲,3535,3417,6952
三重區,112,11,44歲,3544,3547,7091
三重區,112,11,45歲,3439,3570,7009
三重區,112,11,46歲,3282,3347,6629
三重區,112,11,47歲,3580,3480,7060
三重區,112,11,48歲,2990,3081,6071
三重區,112,11,49歲,2878,3038,5916
三重區,112,11,50歲,2811,3005,5816
三重區,112,11,51歲,2778,2915,5693
三重區,112,11,52歲,2796,3042,5838
三重區,112,11,53歲,2962,3087,6049
三重區,112,11,54歲,2775,2988,5763
三重區,112,11,55歲,2766,2992,5758
三重區,112,11,56歲,2627,2900,5527
三重區,112,11,57歲,2608,3043,5651
三重區,112,11,58歲,2669,3218,5887
三重區,112,11,59歲,2664,3257,5921
三重區,112,11,60歲,2850,3352,6202
三重區,112,11,61歲,2740,3140,5880
三重區,112,11,62歲,2709,3356,6065
三重區,112,11,63歲,2707,3220,5927
三重區,112,11,64歲,2697,3368,6065
三重區,112,11,65歲,2728,3046,5774
三重區,112,11,66歲,2466,2987,5453
三重區,112,11,67歲,2571,2984,5555
三重區,112,11,68歲,2589,2986,5575
三重區,112,11,69歲,2287,2818,5105
三重區,112,11,70歲,2209,2660,4869
三重區,112,11,71歲,2058,2577,4635
三重區,112,11,72歲,2075,2495,4570
三重區,112,11,73歲,1637,1977,3614
三重區,112,11,74歲,1504,1846,3350
三重區,112,11,75歲,1125,1529,2654
三重區,112,11,76歲,1075,1285,2360
三重區,112,11,77歲,806,1052,1858
三重區,112,11,78歲,683,848,1531
三重區,112,11,79歲,805,1015,1820
三重區,112,11,80歲,801,937,1738
三重區,112,11,81歲,628,902,1530
三重區,112,11,82歲,625,820,1445
三重區,112,11,83歲,553,820,1373
三重區,112,11,84歲,452,747,1199
三重區,112,11,85歲,372,617,989
三重區,112,11,86歲,294,585,879
三重區,112,11,87歲,258,448,706
三重區,112,11,88歲,220,427,647
三重區,112,11,89歲,177,323,500
三重區,112,11,90歲,153,254,407
三重區,112,11,91歲,126,213,339
三重區,112,11,92歲,97,161,258
三重區,112,11,93歲,77,111,188
三重區,112,11,94歲,50,81,131
三重區,112,11,95歲,50,79,129
三重區,112,11,96歲,36,39,75
三重區,112,11,97歲,30,33,63
三重區,112,11,98歲,27,31,58
三重區,112,11,99歲,11,22,33
三重區,112,11,100歲以上,35,34,69
總計,,,,187337,195922,383259


              
