行政區,年,月,年齡,男,女,合計
中和區,112,5,0歲,960,840,1800
中和區,112,5,1歲,1174,1091,2265
中和區,112,5,2歲,1183,1131,2314
中和區,112,5,3歲,1304,1209,2513
中和區,112,5,4歲,1313,1305,2618
中和區,112,5,5歲,1479,1335,2814
中和區,112,5,6歲,1579,1466,3045
中和區,112,5,7歲,1600,1500,3100
中和區,112,5,8歲,1651,1536,3187
中和區,112,5,9歲,1503,1330,2833
中和區,112,5,10歲,1573,1483,3056
中和區,112,5,11歲,1380,1306,2686
中和區,112,5,12歲,1122,1000,2122
中和區,112,5,13歲,1390,1215,2605
中和區,112,5,14歲,1447,1352,2799
中和區,112,5,15歲,1541,1479,3020
中和區,112,5,16歲,1670,1472,3142
中和區,112,5,17歲,1695,1500,3195
中和區,112,5,18歲,1768,1584,3352
中和區,112,5,19歲,1852,1609,3461
中和區,112,5,20歲,1999,1782,3781
中和區,112,5,21歲,1937,1820,3757
中和區,112,5,22歲,2311,2212,4523
中和區,112,5,23歲,2286,2143,4429
中和區,112,5,24歲,2226,2133,4359
中和區,112,5,25歲,2422,2246,4668
中和區,112,5,26歲,2538,2533,5071
中和區,112,5,27歲,2606,2503,5109
中和區,112,5,28歲,2606,2366,4972
中和區,112,5,29歲,2681,2548,5229
中和區,112,5,30歲,2701,2505,5206
中和區,112,5,31歲,2697,2462,5159
中和區,112,5,32歲,2840,2575,5415
中和區,112,5,33歲,2836,2678,5514
中和區,112,5,34歲,2876,2750,5626
中和區,112,5,35歲,2698,2691,5389
中和區,112,5,36歲,2562,2582,5144
中和區,112,5,37歲,2889,2785,5674
中和區,112,5,38歲,3199,3133,6332
中和區,112,5,39歲,3229,3341,6570
中和區,112,5,40歲,3494,3389,6883
中和區,112,5,41歲,3548,3628,7176
中和區,112,5,42歲,3650,3721,7371
中和區,112,5,43歲,3831,3866,7697
中和區,112,5,44歲,3658,3824,7482
中和區,112,5,45歲,3556,3592,7148
中和區,112,5,46歲,3741,3847,7588
中和區,112,5,47歲,3302,3455,6757
中和區,112,5,48歲,3148,3392,6540
中和區,112,5,49歲,3181,3309,6490
中和區,112,5,50歲,3159,3359,6518
中和區,112,5,51歲,3082,3417,6499
中和區,112,5,52歲,3120,3423,6543
中和區,112,5,53歲,3060,3444,6504
中和區,112,5,54歲,2969,3338,6307
中和區,112,5,55歲,2951,3182,6133
中和區,112,5,56歲,2853,3355,6208
中和區,112,5,57歲,2862,3309,6171
中和區,112,5,58歲,2838,3426,6264
中和區,112,5,59歲,2846,3528,6374
中和區,112,5,60歲,2944,3685,6629
中和區,112,5,61歲,2889,3535,6424
中和區,112,5,62歲,2860,3538,6398
中和區,112,5,63歲,2805,3550,6355
中和區,112,5,64歲,2835,3744,6579
中和區,112,5,65歲,2687,3383,6070
中和區,112,5,66歲,2733,3471,6204
中和區,112,5,67歲,2829,3551,6380
中和區,112,5,68歲,2717,3529,6246
中和區,112,5,69歲,2575,3350,5925
中和區,112,5,70歲,2419,3186,5605
中和區,112,5,71歲,2551,3191,5742
中和區,112,5,72歲,2105,2689,4794
中和區,112,5,73歲,1916,2402,4318
中和區,112,5,74歲,1757,2209,3966
中和區,112,5,75歲,1466,1817,3283
中和區,112,5,76歲,1191,1593,2784
中和區,112,5,77歲,798,1121,1919
中和區,112,5,78歲,871,1171,2042
中和區,112,5,79歲,836,1190,2026
中和區,112,5,80歲,727,1075,1802
中和區,112,5,81歲,647,990,1637
中和區,112,5,82歲,612,989,1601
中和區,112,5,83歲,485,780,1265
中和區,112,5,84歲,369,728,1097
中和區,112,5,85歲,290,605,895
中和區,112,5,86歲,287,529,816
中和區,112,5,87歲,246,428,674
中和區,112,5,88歲,217,401,618
中和區,112,5,89歲,207,317,524
中和區,112,5,90歲,203,280,483
中和區,112,5,91歲,217,226,443
中和區,112,5,92歲,176,185,361
中和區,112,5,93歲,179,118,297
中和區,112,5,94歲,154,136,290
中和區,112,5,95歲,91,100,191
中和區,112,5,96歲,83,71,154
中和區,112,5,97歲,67,53,120
中和區,112,5,98歲,44,34,78
中和區,112,5,99歲,29,26,55
中和區,112,5,100歲以上,44,47,91
總計,,,,195330,210358,405688


              
