行政區,年,月,年齡,男,女,合計
五股區,112,5,0歲,336,309,645
五股區,112,5,1歲,342,306,648
五股區,112,5,2歲,329,334,663
五股區,112,5,3歲,336,363,699
五股區,112,5,4歲,339,327,666
五股區,112,5,5歲,374,341,715
五股區,112,5,6歲,417,339,756
五股區,112,5,7歲,400,373,773
五股區,112,5,8歲,406,345,751
五股區,112,5,9歲,363,360,723
五股區,112,5,10歲,444,373,817
五股區,112,5,11歲,370,328,698
五股區,112,5,12歲,307,247,554
五股區,112,5,13歲,343,310,653
五股區,112,5,14歲,383,319,702
五股區,112,5,15歲,400,366,766
五股區,112,5,16歲,428,380,808
五股區,112,5,17歲,435,404,839
五股區,112,5,18歲,445,413,858
五股區,112,5,19歲,506,415,921
五股區,112,5,20歲,473,455,928
五股區,112,5,21歲,540,463,1003
五股區,112,5,22歲,642,625,1267
五股區,112,5,23歲,624,612,1236
五股區,112,5,24歲,597,564,1161
五股區,112,5,25歲,678,662,1340
五股區,112,5,26歲,785,733,1518
五股區,112,5,27歲,755,703,1458
五股區,112,5,28歲,790,716,1506
五股區,112,5,29歲,741,663,1404
五股區,112,5,30歲,805,715,1520
五股區,112,5,31歲,838,709,1547
五股區,112,5,32歲,812,740,1552
五股區,112,5,33歲,744,692,1436
五股區,112,5,34歲,760,674,1434
五股區,112,5,35歲,718,639,1357
五股區,112,5,36歲,666,627,1293
五股區,112,5,37歲,718,683,1401
五股區,112,5,38歲,782,732,1514
五股區,112,5,39歲,806,759,1565
五股區,112,5,40歲,842,833,1675
五股區,112,5,41歲,863,860,1723
五股區,112,5,42歲,881,889,1770
五股區,112,5,43歲,825,874,1699
五股區,112,5,44歲,867,831,1698
五股區,112,5,45歲,773,798,1571
五股區,112,5,46歲,791,842,1633
五股區,112,5,47歲,720,701,1421
五股區,112,5,48歲,726,746,1472
五股區,112,5,49歲,685,677,1362
五股區,112,5,50歲,710,705,1415
五股區,112,5,51歲,700,705,1405
五股區,112,5,52歲,660,738,1398
五股區,112,5,53歲,710,786,1496
五股區,112,5,54歲,744,748,1492
五股區,112,5,55歲,704,739,1443
五股區,112,5,56歲,715,728,1443
五股區,112,5,57歲,685,759,1444
五股區,112,5,58歲,734,794,1528
五股區,112,5,59歲,747,785,1532
五股區,112,5,60歲,686,747,1433
五股區,112,5,61歲,715,746,1461
五股區,112,5,62歲,622,689,1311
五股區,112,5,63歲,598,663,1261
五股區,112,5,64歲,573,657,1230
五股區,112,5,65歲,486,582,1068
五股區,112,5,66歲,566,581,1147
五股區,112,5,67歲,521,583,1104
五股區,112,5,68歲,447,508,955
五股區,112,5,69歲,464,429,893
五股區,112,5,70歲,423,483,906
五股區,112,5,71歲,378,428,806
五股區,112,5,72歲,342,380,722
五股區,112,5,73歲,258,323,581
五股區,112,5,74歲,245,309,554
五股區,112,5,75歲,162,242,404
五股區,112,5,76歲,166,209,375
五股區,112,5,77歲,115,148,263
五股區,112,5,78歲,128,195,323
五股區,112,5,79歲,107,211,318
五股區,112,5,80歲,107,180,287
五股區,112,5,81歲,107,169,276
五股區,112,5,82歲,85,148,233
五股區,112,5,83歲,84,133,217
五股區,112,5,84歲,49,128,177
五股區,112,5,85歲,64,93,157
五股區,112,5,86歲,46,80,126
五股區,112,5,87歲,51,57,108
五股區,112,5,88歲,36,62,98
五股區,112,5,89歲,40,54,94
五股區,112,5,90歲,42,33,75
五股區,112,5,91歲,34,33,67
五股區,112,5,92歲,35,25,60
五股區,112,5,93歲,22,25,47
五股區,112,5,94歲,20,20,40
五股區,112,5,95歲,27,19,46
五股區,112,5,96歲,13,9,22
五股區,112,5,97歲,10,8,18
五股區,112,5,98歲,5,4,9
五股區,112,5,99歲,6,4,10
五股區,112,5,100歲以上,9,7,16
總計,,,,45953,46060,92013


              
