行政區,年,月,年齡,男,女,合計
八里區,112,4,0歲,134,136,270
八里區,112,4,1歲,130,114,244
八里區,112,4,2歲,165,131,296
八里區,112,4,3歲,174,162,336
八里區,112,4,4歲,171,136,307
八里區,112,4,5歲,169,150,319
八里區,112,4,6歲,161,158,319
八里區,112,4,7歲,177,147,324
八里區,112,4,8歲,166,162,328
八里區,112,4,9歲,132,138,270
八里區,112,4,10歲,170,164,334
八里區,112,4,11歲,134,112,246
八里區,112,4,12歲,90,96,186
八里區,112,4,13歲,138,121,259
八里區,112,4,14歲,167,132,299
八里區,112,4,15歲,163,160,323
八里區,112,4,16歲,181,155,336
八里區,112,4,17歲,167,156,323
八里區,112,4,18歲,201,189,390
八里區,112,4,19歲,223,213,436
八里區,112,4,20歲,225,231,456
八里區,112,4,21歲,259,242,501
八里區,112,4,22歲,285,289,574
八里區,112,4,23歲,307,260,567
八里區,112,4,24歲,290,242,532
八里區,112,4,25歲,291,328,619
八里區,112,4,26歲,323,292,615
八里區,112,4,27歲,329,303,632
八里區,112,4,28歲,352,345,697
八里區,112,4,29歲,343,300,643
八里區,112,4,30歲,316,286,602
八里區,112,4,31歲,298,295,593
八里區,112,4,32歲,330,294,624
八里區,112,4,33歲,305,266,571
八里區,112,4,34歲,292,301,593
八里區,112,4,35歲,299,259,558
八里區,112,4,36歲,265,236,501
八里區,112,4,37歲,288,290,578
八里區,112,4,38歲,317,315,632
八里區,112,4,39歲,327,328,655
八里區,112,4,40歲,314,332,646
八里區,112,4,41歲,316,350,666
八里區,112,4,42歲,341,335,676
八里區,112,4,43歲,320,379,699
八里區,112,4,44歲,318,335,653
八里區,112,4,45歲,329,325,654
八里區,112,4,46歲,332,352,684
八里區,112,4,47歲,314,330,644
八里區,112,4,48歲,308,331,639
八里區,112,4,49歲,297,309,606
八里區,112,4,50歲,297,331,628
八里區,112,4,51歲,347,333,680
八里區,112,4,52歲,302,359,661
八里區,112,4,53歲,345,378,723
八里區,112,4,54歲,345,379,724
八里區,112,4,55歲,321,378,699
八里區,112,4,56歲,363,329,692
八里區,112,4,57歲,352,393,745
八里區,112,4,58歲,362,375,737
八里區,112,4,59歲,373,370,743
八里區,112,4,60歲,356,374,730
八里區,112,4,61歲,351,307,658
八里區,112,4,62歲,326,338,664
八里區,112,4,63歲,318,322,640
八里區,112,4,64歲,286,302,588
八里區,112,4,65歲,281,284,565
八里區,112,4,66歲,268,276,544
八里區,112,4,67歲,247,290,537
八里區,112,4,68歲,244,280,524
八里區,112,4,69歲,224,221,445
八里區,112,4,70歲,192,238,430
八里區,112,4,71歲,200,212,412
八里區,112,4,72歲,139,174,313
八里區,112,4,73歲,147,149,296
八里區,112,4,74歲,135,157,292
八里區,112,4,75歲,94,118,212
八里區,112,4,76歲,76,114,190
八里區,112,4,77歲,67,64,131
八里區,112,4,78歲,75,71,146
八里區,112,4,79歲,66,103,169
八里區,112,4,80歲,63,84,147
八里區,112,4,81歲,52,81,133
八里區,112,4,82歲,42,73,115
八里區,112,4,83歲,63,70,133
八里區,112,4,84歲,35,57,92
八里區,112,4,85歲,37,57,94
八里區,112,4,86歲,30,64,94
八里區,112,4,87歲,28,56,84
八里區,112,4,88歲,20,33,53
八里區,112,4,89歲,19,25,44
八里區,112,4,90歲,24,22,46
八里區,112,4,91歲,23,20,43
八里區,112,4,92歲,18,20,38
八里區,112,4,93歲,11,7,18
八里區,112,4,94歲,6,10,16
八里區,112,4,95歲,4,9,13
八里區,112,4,96歲,4,5,9
八里區,112,4,97歲,2,7,9
八里區,112,4,98歲,5,2,7
八里區,112,4,99歲,2,2,4
八里區,112,4,100歲以上,4,11,15
總計,,,,20434,20746,41180


              
