¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
¤g«°°Ï,112,7,0·³,663,645,1308
¤g«°°Ï,112,7,1·³,764,740,1504
¤g«°°Ï,112,7,2·³,840,775,1615
¤g«°°Ï,112,7,3·³,964,858,1822
¤g«°°Ï,112,7,4·³,913,949,1862
¤g«°°Ï,112,7,5·³,989,977,1966
¤g«°°Ï,112,7,6·³,1048,954,2002
¤g«°°Ï,112,7,7·³,1119,1047,2166
¤g«°°Ï,112,7,8·³,1126,1090,2216
¤g«°°Ï,112,7,9·³,1036,986,2022
¤g«°°Ï,112,7,10·³,1141,970,2111
¤g«°°Ï,112,7,11·³,1098,1026,2124
¤g«°°Ï,112,7,12·³,915,868,1783
¤g«°°Ï,112,7,13·³,879,790,1669
¤g«°°Ï,112,7,14·³,961,870,1831
¤g«°°Ï,112,7,15·³,1039,981,2020
¤g«°°Ï,112,7,16·³,974,921,1895
¤g«°°Ï,112,7,17·³,1038,937,1975
¤g«°°Ï,112,7,18·³,1069,1009,2078
¤g«°°Ï,112,7,19·³,1082,967,2049
¤g«°°Ï,112,7,20·³,1169,1034,2203
¤g«°°Ï,112,7,21·³,1207,1128,2335
¤g«°°Ï,112,7,22·³,1554,1404,2958
¤g«°°Ï,112,7,23·³,1572,1455,3027
¤g«°°Ï,112,7,24·³,1553,1339,2892
¤g«°°Ï,112,7,25·³,1629,1510,3139
¤g«°°Ï,112,7,26·³,1787,1683,3470
¤g«°°Ï,112,7,27·³,1832,1694,3526
¤g«°°Ï,112,7,28·³,1824,1753,3577
¤g«°°Ï,112,7,29·³,1965,1688,3653
¤g«°°Ï,112,7,30·³,1958,1756,3714
¤g«°°Ï,112,7,31·³,1884,1794,3678
¤g«°°Ï,112,7,32·³,1949,1822,3771
¤g«°°Ï,112,7,33·³,1984,1781,3765
¤g«°°Ï,112,7,34·³,1926,1846,3772
¤g«°°Ï,112,7,35·³,1901,1709,3610
¤g«°°Ï,112,7,36·³,1808,1624,3432
¤g«°°Ï,112,7,37·³,1829,1758,3587
¤g«°°Ï,112,7,38·³,2096,1974,4070
¤g«°°Ï,112,7,39·³,1966,2051,4017
¤g«°°Ï,112,7,40·³,2128,2164,4292
¤g«°°Ï,112,7,41·³,2203,2163,4366
¤g«°°Ï,112,7,42·³,2220,2221,4441
¤g«°°Ï,112,7,43·³,2138,2209,4347
¤g«°°Ï,112,7,44·³,2096,2080,4176
¤g«°°Ï,112,7,45·³,2017,2012,4029
¤g«°°Ï,112,7,46·³,1970,2218,4188
¤g«°°Ï,112,7,47·³,1811,1958,3769
¤g«°°Ï,112,7,48·³,1778,1845,3623
¤g«°°Ï,112,7,49·³,1571,1776,3347
¤g«°°Ï,112,7,50·³,1654,1809,3463
¤g«°°Ï,112,7,51·³,1636,1776,3412
¤g«°°Ï,112,7,52·³,1610,1889,3499
¤g«°°Ï,112,7,53·³,1601,1926,3527
¤g«°°Ï,112,7,54·³,1694,1973,3667
¤g«°°Ï,112,7,55·³,1671,2017,3688
¤g«°°Ï,112,7,56·³,1626,2015,3641
¤g«°°Ï,112,7,57·³,1715,2223,3938
¤g«°°Ï,112,7,58·³,1801,2229,4030
¤g«°°Ï,112,7,59·³,1831,2234,4065
¤g«°°Ï,112,7,60·³,1846,2309,4155
¤g«°°Ï,112,7,61·³,1880,2229,4109
¤g«°°Ï,112,7,62·³,1766,2140,3906
¤g«°°Ï,112,7,63·³,1725,2083,3808
¤g«°°Ï,112,7,64·³,1710,2112,3822
¤g«°°Ï,112,7,65·³,1645,1923,3568
¤g«°°Ï,112,7,66·³,1562,1804,3366
¤g«°°Ï,112,7,67·³,1547,1813,3360
¤g«°°Ï,112,7,68·³,1487,1685,3172
¤g«°°Ï,112,7,69·³,1371,1587,2958
¤g«°°Ï,112,7,70·³,1235,1386,2621
¤g«°°Ï,112,7,71·³,1137,1356,2493
¤g«°°Ï,112,7,72·³,1061,1213,2274
¤g«°°Ï,112,7,73·³,840,888,1728
¤g«°°Ï,112,7,74·³,768,823,1591
¤g«°°Ï,112,7,75·³,597,654,1251
¤g«°°Ï,112,7,76·³,497,530,1027
¤g«°°Ï,112,7,77·³,343,378,721
¤g«°°Ï,112,7,78·³,379,428,807
¤g«°°Ï,112,7,79·³,366,428,794
¤g«°°Ï,112,7,80·³,307,390,697
¤g«°°Ï,112,7,81·³,261,350,611
¤g«°°Ï,112,7,82·³,263,352,615
¤g«°°Ï,112,7,83·³,167,293,460
¤g«°°Ï,112,7,84·³,192,253,445
¤g«°°Ï,112,7,85·³,134,201,335
¤g«°°Ï,112,7,86·³,112,189,301
¤g«°°Ï,112,7,87·³,95,157,252
¤g«°°Ï,112,7,88·³,92,149,241
¤g«°°Ï,112,7,89·³,58,115,173
¤g«°°Ï,112,7,90·³,56,90,146
¤g«°°Ï,112,7,91·³,71,65,136
¤g«°°Ï,112,7,92·³,50,81,131
¤g«°°Ï,112,7,93·³,41,49,90
¤g«°°Ï,112,7,94·³,33,35,68
¤g«°°Ï,112,7,95·³,29,23,52
¤g«°°Ï,112,7,96·³,21,16,37
¤g«°°Ï,112,7,97·³,21,14,35
¤g«°°Ï,112,7,98·³,8,6,14
¤g«°°Ï,112,7,99·³,6,9,15
¤g«°°Ï,112,7,100·³¥H¤W,15,10,25
Á`­p,,,,117616,122516,240132


              
