行政區,年,月,年齡,男,女,合計
坪林區,112,4,0歲,18,10,28
坪林區,112,4,1歲,11,11,22
坪林區,112,4,2歲,16,10,26
坪林區,112,4,3歲,23,14,37
坪林區,112,4,4歲,8,12,20
坪林區,112,4,5歲,15,18,33
坪林區,112,4,6歲,11,16,27
坪林區,112,4,7歲,10,11,21
坪林區,112,4,8歲,13,12,25
坪林區,112,4,9歲,13,17,30
坪林區,112,4,10歲,13,10,23
坪林區,112,4,11歲,12,17,29
坪林區,112,4,12歲,12,9,21
坪林區,112,4,13歲,13,15,28
坪林區,112,4,14歲,26,15,41
坪林區,112,4,15歲,16,13,29
坪林區,112,4,16歲,28,22,50
坪林區,112,4,17歲,14,20,34
坪林區,112,4,18歲,18,23,41
坪林區,112,4,19歲,28,34,62
坪林區,112,4,20歲,37,24,61
坪林區,112,4,21歲,38,27,65
坪林區,112,4,22歲,44,36,80
坪林區,112,4,23歲,35,36,71
坪林區,112,4,24歲,41,34,75
坪林區,112,4,25歲,45,42,87
坪林區,112,4,26歲,45,41,86
坪林區,112,4,27歲,39,32,71
坪林區,112,4,28歲,35,36,71
坪林區,112,4,29歲,44,40,84
坪林區,112,4,30歲,33,42,75
坪林區,112,4,31歲,28,26,54
坪林區,112,4,32歲,40,32,72
坪林區,112,4,33歲,37,32,69
坪林區,112,4,34歲,39,31,70
坪林區,112,4,35歲,43,20,63
坪林區,112,4,36歲,32,25,57
坪林區,112,4,37歲,26,33,59
坪林區,112,4,38歲,30,35,65
坪林區,112,4,39歲,33,29,62
坪林區,112,4,40歲,31,32,63
坪林區,112,4,41歲,30,41,71
坪林區,112,4,42歲,47,36,83
坪林區,112,4,43歲,38,33,71
坪林區,112,4,44歲,34,36,70
坪林區,112,4,45歲,54,34,88
坪林區,112,4,46歲,45,54,99
坪林區,112,4,47歲,47,40,87
坪林區,112,4,48歲,40,36,76
坪林區,112,4,49歲,52,39,91
坪林區,112,4,50歲,46,43,89
坪林區,112,4,51歲,66,39,105
坪林區,112,4,52歲,71,49,120
坪林區,112,4,53歲,59,54,113
坪林區,112,4,54歲,65,49,114
坪林區,112,4,55歲,75,45,120
坪林區,112,4,56歲,73,46,119
坪林區,112,4,57歲,76,61,137
坪林區,112,4,58歲,88,44,132
坪林區,112,4,59歲,91,55,146
坪林區,112,4,60歲,84,61,145
坪林區,112,4,61歲,60,43,103
坪林區,112,4,62歲,60,39,99
坪林區,112,4,63歲,88,52,140
坪林區,112,4,64歲,72,51,123
坪林區,112,4,65歲,70,51,121
坪林區,112,4,66歲,62,50,112
坪林區,112,4,67歲,66,48,114
坪林區,112,4,68歲,45,54,99
坪林區,112,4,69歲,62,41,103
坪林區,112,4,70歲,50,46,96
坪林區,112,4,71歲,59,47,106
坪林區,112,4,72歲,50,48,98
坪林區,112,4,73歲,44,42,86
坪林區,112,4,74歲,44,38,82
坪林區,112,4,75歲,29,28,57
坪林區,112,4,76歲,30,36,66
坪林區,112,4,77歲,25,26,51
坪林區,112,4,78歲,40,30,70
坪林區,112,4,79歲,26,29,55
坪林區,112,4,80歲,30,33,63
坪林區,112,4,81歲,24,33,57
坪林區,112,4,82歲,24,25,49
坪林區,112,4,83歲,22,38,60
坪林區,112,4,84歲,24,25,49
坪林區,112,4,85歲,20,20,40
坪林區,112,4,86歲,26,21,47
坪林區,112,4,87歲,19,17,36
坪林區,112,4,88歲,6,15,21
坪林區,112,4,89歲,13,9,22
坪林區,112,4,90歲,8,13,21
坪林區,112,4,91歲,3,17,20
坪林區,112,4,92歲,8,7,15
坪林區,112,4,93歲,9,9,18
坪林區,112,4,94歲,7,8,15
坪林區,112,4,95歲,6,7,13
坪林區,112,4,96歲,2,5,7
坪林區,112,4,97歲,2,1,3
坪林區,112,4,98歲,3,3,6
坪林區,112,4,99歲,0,2,2
坪林區,112,4,100歲以上,4,7,11
總計,,,,3516,3003,6519


              
