行政區,年,月,年齡,男,女,合計
平溪區,112,8,0歲,1,3,4
平溪區,112,8,1歲,6,4,10
平溪區,112,8,2歲,1,3,4
平溪區,112,8,3歲,5,2,7
平溪區,112,8,4歲,5,3,8
平溪區,112,8,5歲,4,7,11
平溪區,112,8,6歲,6,9,15
平溪區,112,8,7歲,4,8,12
平溪區,112,8,8歲,4,11,15
平溪區,112,8,9歲,7,4,11
平溪區,112,8,10歲,8,7,15
平溪區,112,8,11歲,9,4,13
平溪區,112,8,12歲,3,1,4
平溪區,112,8,13歲,7,3,10
平溪區,112,8,14歲,6,8,14
平溪區,112,8,15歲,8,10,18
平溪區,112,8,16歲,15,7,22
平溪區,112,8,17歲,15,15,30
平溪區,112,8,18歲,10,16,26
平溪區,112,8,19歲,13,21,34
平溪區,112,8,20歲,10,10,20
平溪區,112,8,21歲,17,16,33
平溪區,112,8,22歲,16,18,34
平溪區,112,8,23歲,19,20,39
平溪區,112,8,24歲,12,19,31
平溪區,112,8,25歲,16,12,28
平溪區,112,8,26歲,11,11,22
平溪區,112,8,27歲,23,11,34
平溪區,112,8,28歲,17,24,41
平溪區,112,8,29歲,12,16,28
平溪區,112,8,30歲,20,13,33
平溪區,112,8,31歲,19,13,32
平溪區,112,8,32歲,28,9,37
平溪區,112,8,33歲,18,18,36
平溪區,112,8,34歲,25,16,41
平溪區,112,8,35歲,19,14,33
平溪區,112,8,36歲,17,16,33
平溪區,112,8,37歲,22,11,33
平溪區,112,8,38歲,19,12,31
平溪區,112,8,39歲,15,16,31
平溪區,112,8,40歲,31,20,51
平溪區,112,8,41歲,20,18,38
平溪區,112,8,42歲,39,18,57
平溪區,112,8,43歲,25,21,46
平溪區,112,8,44歲,17,17,34
平溪區,112,8,45歲,36,29,65
平溪區,112,8,46歲,41,25,66
平溪區,112,8,47歲,40,28,68
平溪區,112,8,48歲,33,24,57
平溪區,112,8,49歲,32,22,54
平溪區,112,8,50歲,37,18,55
平溪區,112,8,51歲,39,27,66
平溪區,112,8,52歲,51,21,72
平溪區,112,8,53歲,61,37,98
平溪區,112,8,54歲,64,22,86
平溪區,112,8,55歲,48,27,75
平溪區,112,8,56歲,58,34,92
平溪區,112,8,57歲,70,27,97
平溪區,112,8,58歲,62,42,104
平溪區,112,8,59歲,79,28,107
平溪區,112,8,60歲,56,28,84
平溪區,112,8,61歲,79,27,106
平溪區,112,8,62歲,59,32,91
平溪區,112,8,63歲,62,45,107
平溪區,112,8,64歲,62,19,81
平溪區,112,8,65歲,55,32,87
平溪區,112,8,66歲,47,27,74
平溪區,112,8,67歲,47,30,77
平溪區,112,8,68歲,47,27,74
平溪區,112,8,69歲,36,32,68
平溪區,112,8,70歲,51,33,84
平溪區,112,8,71歲,26,32,58
平溪區,112,8,72歲,29,24,53
平溪區,112,8,73歲,17,27,44
平溪區,112,8,74歲,30,32,62
平溪區,112,8,75歲,29,16,45
平溪區,112,8,76歲,22,26,48
平溪區,112,8,77歲,9,11,20
平溪區,112,8,78歲,14,26,40
平溪區,112,8,79歲,15,19,34
平溪區,112,8,80歲,22,28,50
平溪區,112,8,81歲,26,30,56
平溪區,112,8,82歲,23,41,64
平溪區,112,8,83歲,18,44,62
平溪區,112,8,84歲,10,30,40
平溪區,112,8,85歲,16,29,45
平溪區,112,8,86歲,14,26,40
平溪區,112,8,87歲,9,23,32
平溪區,112,8,88歲,7,14,21
平溪區,112,8,89歲,6,13,19
平溪區,112,8,90歲,2,9,11
平溪區,112,8,91歲,3,10,13
平溪區,112,8,92歲,3,9,12
平溪區,112,8,93歲,1,6,7
平溪區,112,8,94歲,1,4,5
平溪區,112,8,95歲,5,6,11
平溪區,112,8,96歲,1,5,6
平溪區,112,8,97歲,0,4,4
平溪區,112,8,98歲,0,0,0
平溪區,112,8,99歲,0,3,3
平溪區,112,8,100歲以上,0,1,1
總計,,,,2334,1826,4160


              
