行政區,年,月,男,女,合計,年紀
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,3910,3590,7500,0歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,141,100,241,100歲以上
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7516,6751,14267,10歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7261,6896,14157,11歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,6555,5998,12553,12歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,6520,5625,12145,13歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7076,6358,13434,14歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7439,6677,14116,15歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,6962,6642,13604,16歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,6659,6490,13149,17歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7051,6610,13661,18歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7767,6289,14056,19歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,4702,4250,8952,1歲
三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區三峽區,1344.0,78.0,7944,7035,14979,20歲
