行政區,年,月,男,女,合計,年紀
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,506,432,938,0歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,35,62,97,100歲以上
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,946,764,1710,10歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,796,716,1512,11歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,707,582,1289,12歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,881,678,1559,13歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,817,792,1609,14歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,806,1019,1825,15歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1044,1020,2064,16歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,980,1020,2000,17歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1193,1086,2279,18歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1269,1214,2483,19歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,654,533,1187,1歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1282,1390,2672,20歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1565,1390,2955,21歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1761,1650,3411,22歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1751,1602,3353,23歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1743,1489,3232,24歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1968,1603,3571,25歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2020,1789,3809,26歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,1940,1883,3823,27歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2219,1839,4058,28歲
三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區三芝區,1344.0,78.0,2311,1860,4171,29歲
