行政區,年,月,男,女,合計,年紀
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,11554,10282,21836,0歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,444,402,846,100歲以上
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,19184,18120,37304,10歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,18039,17439,35478,11歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,15014,14619,29633,12歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,16107,15241,31348,13歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,17279,16147,33426,14歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,18310,16380,34690,15歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,18878,17275,36153,16歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,19021,17424,36445,17歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,20406,18375,38781,18歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,21136,18490,39626,19歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,13324,12929,26253,1歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,22420,20311,42731,20歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,23891,21425,45316,21歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,27491,24774,52265,22歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,28345,25632,53977,23歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,26608,24784,51392,24歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,27923,26193,54116,25歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,30805,28103,58908,26歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,31127,29176,60303,27歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,31740,29300,61040,28歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,32307,29257,61564,29歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,14611,14051,28662,2歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33085,30008,63093,30歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33313,30774,64087,31歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34174,31430,65604,32歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33964,31624,65588,33歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34936,32557,67493,34歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34705,32130,66835,35歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,32050,30606,62656,36歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34933,33226,68159,37歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,36820,36277,73097,38歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,38646,38207,76853,39歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,15773,14595,30368,3歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,40839,41046,81885,40歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,41560,41765,83325,41歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,42333,42559,84892,42歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,42611,41950,84561,43歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,41964,42254,84218,44歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,39963,41171,81134,45歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,41623,41190,82813,46歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,39271,39078,78349,47歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,35298,36592,71890,48歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34057,36150,70207,49歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,16059,15388,31447,4歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33449,35396,68845,50歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33532,35458,68990,51歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34305,36546,70851,52歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,34710,36024,70734,53歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33414,36080,69494,54歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,32061,34920,66981,55歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,31651,35606,67257,56歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,31388,36907,68295,57歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,31893,38851,70744,58歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,32728,39347,72075,59歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,16693,16261,32954,5歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33819,39263,73082,60歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,33002,38808,71810,61歲
三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區三重區,1344.0,78.0,32371,39275,71646,62歲
