行政區,年,月,男,女,合計,年紀
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,11157,10166,21323,0歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,534,553,1087,100歲以上
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,18644,17342,35986,10歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,16941,16102,33043,11歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,14543,12983,27526,12歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,16057,14237,30294,13歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,17759,16390,34149,14歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,18542,17705,36247,15歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,20058,17988,38046,16歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,20365,18130,38495,17歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,20984,18931,39915,18歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,22378,19529,41907,19歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,13658,12618,26276,1歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,23785,20776,44561,20歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,23711,22271,45982,21歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,26930,25647,52577,22歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,27970,26301,54271,23歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,26314,25366,51680,24歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,28372,26867,55239,25歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,30786,29848,60634,26歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,31322,30095,61417,27歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,31196,28742,59938,28歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,31966,30262,62228,29歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,14348,13495,27843,2歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,32455,29841,62296,30歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,32275,30130,62405,31歲
中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區中和區,1344.0,78.0,33724,30414,64138,32歲
