行政區,年,月,男,女,合計,年紀
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,3910,3584,7494,0歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,100,83,183,100歲以上
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5201,4471,9672,10歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,4629,4052,8681,11歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,3796,3189,6985,12歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,4073,3498,7571,13歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,4537,3962,8499,14歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,4806,4364,9170,15歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5076,4658,9734,16歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5323,4791,10114,17歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5330,4855,10185,18歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5954,5151,11105,19歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,4111,3628,7739,1歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,5898,5317,11215,20歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,6377,5627,12004,21歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,7382,7114,14496,22歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,7744,7497,15241,23歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,7237,7018,14255,24歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,8032,7669,15701,25歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,9223,8763,17986,26歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,9059,8406,17465,27歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,9429,8748,18177,28歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,9105,8050,17155,29歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,3861,4099,7960,2歲
五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區五股區,1344.0,78.0,9491,8505,17996,30歲
