行政區,年,月,男,女,合計,年紀
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1551,1460,3011,0歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,48,119,167,100歲以上
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1985,1896,3881,10歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1649,1545,3194,11歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1356,1194,2550,12歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1640,1488,3128,13歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2029,1622,3651,14歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1929,1888,3817,15歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2116,1835,3951,16歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2112,1891,4003,17歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2359,2212,4571,18歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2645,2496,5141,19歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1735,1499,3234,1歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2793,2744,5537,20歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2908,2832,5740,21歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3464,3327,6791,22歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3741,3294,7035,23歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3409,3055,6464,24歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3579,3512,7091,25歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3798,3548,7346,26歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4039,3735,7774,27歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4086,4013,8099,28歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4032,3766,7798,29歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,1936,1539,3475,2歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4035,3589,7624,30歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3657,3578,7235,31歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3865,3400,7265,32歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3706,3309,7015,33歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3584,3516,7100,34歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3569,3263,6832,35歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3328,3012,6340,36歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3391,3357,6748,37歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3762,3633,7395,38歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3947,3971,7918,39歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2037,1855,3892,3歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3748,3974,7722,40歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3922,4239,8161,41歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4051,4148,8199,42歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3984,4337,8321,43歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3838,4225,8063,44歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3884,3937,7821,45歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3956,4232,8188,46歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3913,4123,8036,47歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3819,4047,7866,48歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3530,3776,7306,49歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2044,1745,3789,4歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3661,3955,7616,50歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4088,4062,8150,51歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3709,4340,8049,52歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4109,4527,8636,53歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4161,4482,8643,54歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3988,4526,8514,55歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4132,4040,8172,56歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4330,4625,8955,57歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4262,4788,9050,58歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4518,4378,8896,59歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,2096,1785,3881,5歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4361,4431,8792,60歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,4183,3932,8115,61歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3971,3942,7913,62歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3923,3957,7880,63歲
八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區八里區,1344.0,78.0,3544,3753,7297,64歲
