行政區,年,月,男,女,合計,年紀
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,7810,7507,15317,0歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,193,118,311,100歲以上
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,13514,11808,25322,10歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,13279,12262,25541,11歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,10780,10170,20950,12歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,10555,9533,20088,13歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,11390,10551,21941,14歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,12364,11338,23702,15歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,12006,11327,23333,16歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,12186,11246,23432,17歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,12670,11786,24456,18歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,13128,11785,24913,19歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,9324,8821,18145,1歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,14014,12391,26405,20歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,14827,13662,28489,21歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,18435,16765,35200,22歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,19233,17509,36742,23歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,18445,16068,34513,24歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,19307,18338,37645,25歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,21480,19913,41393,26歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,22024,20429,42453,27歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,22019,20805,42824,28歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,23329,20558,43887,29歲
土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區土城區,1344.0,78.0,9875,9581,19456,2歲
