行政區,年,月,男,女,合計,年紀
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,159,137,296,0歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,47,75,122,100歲以上
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,172,143,315,10歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,139,186,325,11歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,146,156,302,12歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,172,146,318,13歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,260,163,423,14歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,222,164,386,15歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,274,262,536,16歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,246,236,482,17歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,226,272,498,18歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,318,377,695,19歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,157,116,273,1歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,399,340,739,20歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,434,329,763,21歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,554,402,956,22歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,440,453,893,23歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,450,387,837,24歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,547,476,1023,25歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,526,493,1019,26歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,492,411,903,27歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,415,394,809,28歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,507,451,958,29歲
坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區坪林區,1344.0,78.0,194,125,319,2歲
