行政區,年,月,男,女,合計,年紀
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,33,40,73,0歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,2,23,25,100歲以上
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,92,84,176,10歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,99,57,156,11歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,55,24,79,12歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,90,59,149,13歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,78,100,178,14歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,100,119,219,15歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,174,110,284,16歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,175,141,316,17歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,114,208,322,18歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,153,239,392,19歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,68,40,108,1歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,126,154,280,20歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,206,176,382,21歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,223,252,475,22歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,197,245,442,23歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,141,194,335,24歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,190,130,320,25歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,174,143,317,26歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,246,164,410,27歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,221,249,470,28歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,186,199,385,29歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,19,40,59,2歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,195,163,358,30歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,293,129,422,31歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,296,131,427,32歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,221,226,447,33歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,290,189,479,34歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,239,165,404,35歲
平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區平溪區,1344.0,78.0,192,160,352,36歲
