行政區,年,月,男,女,合計,年紀
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,7973,7818,15791,0歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,931,772,1703,100歲以上
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,12028,12003,24031,10歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,11127,10650,21777,11歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,10035,9419,19454,12歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,10359,10256,20615,13歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,11421,11451,22872,14歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,13089,12605,25694,15歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,13797,12852,26649,16歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,13292,13186,26478,17歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,14303,13427,27730,18歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,15410,14132,29542,19歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,10071,9459,19530,1歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,16505,15958,32463,20歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,17916,16395,34311,21歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,19920,19142,39062,22歲
新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區新店區,1344.0,78.0,21074,20360,41434,23歲
