行政區,年,月,男,女,合計,年紀
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,14338,14135,28473,0歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,200,269,469,100歲以上
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,27588,25882,53470,10歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,26561,26613,53174,11歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,22230,21658,43888,12歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,22540,20767,43307,13歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24125,22073,46198,14歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24865,22586,47451,15歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24084,21988,46072,16歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24486,22212,46698,17歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24592,22418,47010,18歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,24928,22505,47433,19歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,17965,16521,34486,1歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,26579,23878,50457,20歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,27773,25640,53413,21歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,31701,29077,60778,22歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,32256,29937,62193,23歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,29083,27711,56794,24歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,32767,30454,63221,25歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,35502,33317,68819,26歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,35032,34203,69235,27歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,35683,34054,69737,28歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,36958,35182,72140,29歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,19153,18342,37495,2歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,37362,35360,72722,30歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,37617,35327,72944,31歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,38604,37202,75806,32歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,37741,36750,74491,33歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,39110,38077,77187,34歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,38195,37174,75369,35歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,36083,36025,72108,36歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,38357,38433,76790,37歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,42288,43181,85469,38歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,43296,44784,88080,39歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,20769,18730,39499,3歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,44974,47895,92869,40歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,47181,49532,96713,41歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,48853,51298,100151,42歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,48468,51415,99883,43歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,48139,51266,99405,44歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,45196,48449,93645,45歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,45947,49584,95531,46歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,42468,44857,87325,47歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,38122,42670,80792,48歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,36762,39458,76220,49歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,22028,20320,42348,4歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,35266,37283,72549,50歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,34383,37916,72299,51歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,35066,38391,73457,52歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,34472,39317,73789,53歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,32888,39008,71896,54歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,31800,37642,69442,55歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,30667,38681,69348,56歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,31423,39365,70788,57歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,32099,40853,72952,58歲
新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區新莊區,1344.0,78.0,32882,41431,74313,59歲
