行政區,年,月,男,女,合計,年紀
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,16820,15492,32312,0歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,914,616,1530,100歲以上
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,35371,33607,68978,10歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,35703,32899,68602,11歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,29645,26976,56621,12歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,28715,26047,54762,13歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,30222,27283,57505,14歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,30882,27946,58828,15歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,29824,26882,56706,16歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,29766,27575,57341,17歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,29521,27582,57103,18歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,30918,27153,58071,19歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,20754,19481,40235,1歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,32395,28845,61240,20歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,33137,30490,63627,21歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,37739,35015,72754,22歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,39115,35343,74458,23歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,35486,32300,67786,24歲
板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區板橋區,1344.0,78.0,37536,35098,72634,25歲
