行政區,年,月,男,女,合計,年紀
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,5886,5503,11389,0歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,148,161,309,100歲以上
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11575,10922,22497,10歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11911,10976,22887,11歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9826,8954,18780,12歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8765,8037,16802,13歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8818,8363,17181,14歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8356,8123,16479,15歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7718,7509,15227,16歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7533,6802,14335,17歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7766,6682,14448,18歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7622,6736,14358,19歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7543,7042,14585,1歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8000,6578,14578,20歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,7925,7090,15015,21歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8809,8189,16998,22歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8868,8564,17432,23歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8467,8171,16638,24歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9489,8842,18331,25歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10013,9412,19425,26歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9416,9363,18779,27歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10001,9698,19699,28歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10209,9637,19846,29歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8402,7830,16232,2歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9729,10121,19850,30歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9833,9860,19693,31歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10625,10441,21066,32歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10966,11252,22218,33歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11153,12076,23229,34歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10575,11581,22156,35歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10370,11011,21381,36歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10683,12112,22795,37歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11764,13780,25544,38歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,12584,14251,26835,39歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,8919,8423,17342,3歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,12525,15454,27979,40歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,13825,16987,30812,41歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14785,16126,30911,42歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14136,16387,30523,43歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14447,16813,31260,44歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14280,16087,30367,45歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14895,16656,31551,46歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,14172,15072,29244,47歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,12371,13211,25582,48歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11861,12733,24594,49歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,9222,8773,17995,4歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11203,12748,23951,50歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,11304,12215,23519,51歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10840,12057,22897,52歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10560,12293,22853,53歲
林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區林口區,1344.0,78.0,10893,11957,22850,54歲
