行政區,年,月,男,女,合計,年紀
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,5691,5409,11100,0歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,55,100,155,100歲以上
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11492,10521,22013,10歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,10435,9980,20415,11歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,9086,8133,17219,12歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,8967,8283,17250,13歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,10421,8878,19299,14歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11341,9383,20724,15歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,10984,9574,20558,16歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11004,9857,20861,17歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11003,10347,21350,18歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11559,10172,21731,19歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,7205,6769,13974,1歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,11658,11466,23124,20歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,12301,11487,23788,21歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,14516,13153,27669,22歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,14649,13482,28131,23歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,13885,12942,26827,24歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,15396,13178,28574,25歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16591,14871,31462,26歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,15782,14410,30192,27歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,15509,14835,30344,28歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16318,14871,31189,29歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,7492,7421,14913,2歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,17065,15024,32089,30歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16545,15210,31755,31歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16465,14935,31400,32歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16264,14670,30934,33歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16182,14764,30946,34歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16217,14622,30839,35歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,14879,14784,29663,36歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,15107,15028,30135,37歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,16914,16542,33456,38歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,17719,18046,35765,39歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,8370,7971,16341,3歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,19474,19399,38873,40歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,19725,20695,40420,41歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,20076,20499,40575,42歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,20952,19762,40714,43歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,20671,20763,41434,44歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,19196,19256,38452,45歲
樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區樹林區,1344.0,78.0,19549,19715,39264,46歲
