行政區,年,月,男,女,合計,年紀
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,5141.0,4873.0,783813847763830836891846766864886889,0歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0112.0,78.0,1070.0,629.0,147142141144145140142139143139139138,100歲以上
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,13154.0,12495.0,191822602260221822072213219720352155211420881984,10歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0,78.0,14258.0,13482.0,219424832255243822282216231922172590238222042214,11歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,12622.0,11868.0,211921301969205921462092200520372067188821431835,12歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112,78.0,11111.0,10497.0,186518031801179118281764186418221726178417351825,13歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0,78.0,11283.0,10836.0,182918001867184818581812185118301846187518621841,14歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,11233.0,10584.0,181818231859184017821813182417841802180618101856,15歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,11202.0,10244.0,182818001770180817751804175017851778175818071783,16歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,10636.0,9700.0,165817621712175517391644169316531652168217021684,17歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0,78.0,11431.0,10081.0,180418371798175217231697186018571813178017971794,18歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0,78.0,11236.0,10253.0,179417821797177417771805177017781817180117981796,19歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,6446.0,5844.0,1033101910251045995103610631017100610379961018,1歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112,78.0,11797.0,11178.0,181018812050185219111832185820112013203517891933,20歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,12125.0,11062.0,199018801956186419881945193719171995190818911916,21歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,13888.0,13122.0,219724082324212823822321197023082229205822642421,22歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0112.0,78.0,13660.0,13472.0,227221762238225422082252220722602384223823062337,23歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0,78.0,13056.0,12827.0,221421912172209621692230213921802106211721832086,24歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0,78.0,14926.0,13493.0,236425622525221823262096252621232274246025322413,25歲
永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區永和區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0,78.0,15763.0,14557.0,250424932539250525352545257325202571252025002515,26歲
