行政區,年,月,男,女,合計,年紀
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,6131,6149,12280,0歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,196,398,594,100歲以上
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,9580,8708,18288,10歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,8675,8381,17056,11歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,7190,6919,14109,12歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,7761,6834,14595,13歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,8643,8133,16776,14歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,9891,8613,18504,15歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,9713,8880,18593,16歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,9951,8977,18928,17歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,11008,8974,19982,18歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,11259,10259,21518,19歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,7342,7053,14395,1歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,12166,11722,23888,20歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,13400,12633,26033,21歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,15987,14185,30172,22歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,16600,14502,31102,23歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,15849,14836,30685,24歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,17140,16230,33370,25歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18209,17024,35233,26歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18441,17103,35544,27歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18581,16886,35467,28歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18845,17164,36009,29歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,7616,6877,14493,2歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18488,16907,35395,30歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18126,16542,34668,31歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18835,16794,35629,32歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18014,16333,34347,33歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,17094,16587,33681,34歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,15901,16018,31919,35歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,15098,14709,29807,36歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,16178,16059,32237,37歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,17513,17319,34832,38歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,18914,18166,37080,39歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,7947,7131,15078,3歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20173,19499,39672,40歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21152,20996,42148,41歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20754,21231,41985,42歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21636,21534,43170,43歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21569,21913,43482,44歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20209,21584,41793,45歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21059,23165,44224,46歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20728,21678,42406,47歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,19301,21211,40512,48歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,19169,20523,39692,49歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,8114,7643,15757,4歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,19150,21516,40666,50歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,19732,22377,42109,51歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20822,23767,44589,52歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21348,24450,45798,53歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,20881,24961,45842,54歲
汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區汐止區,1344.0,78.0,21618,25066,46684,55歲
