行政區,年,月,男,女,合計,年紀
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,2540,2227,4767,0歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,38,62,100,100歲以上
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5045,4720,9765,10歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5067,4627,9694,11歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,4379,3967,8346,12歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,4442,4325,8767,13歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,4941,4272,9213,14歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5296,4661,9957,15歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5159,4757,9916,16歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5200,4457,9657,17歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5117,4661,9778,18歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5082,4966,10048,19歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,2916,2536,5452,1歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5079,4633,9712,20歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5291,4641,9932,21歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6105,5617,11722,22歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6238,5130,11368,23歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5686,5006,10692,24歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6044,5434,11478,25歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6607,6184,12791,26歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6697,5968,12665,27歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6376,5898,12274,28歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6767,5989,12756,29歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,3238,2836,6074,2歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6757,5710,12467,30歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6377,5663,12040,31歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6692,5937,12629,32歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6557,6002,12559,33歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,6247,5989,12236,34歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5998,5943,11941,35歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5835,5986,11821,36歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,5920,6046,11966,37歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,7128,7301,14429,38歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,7056,7960,15016,39歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,3311,3140,6451,3歲
泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區泰山區,1344.0,78.0,8025,8638,16663,40歲
