行政區,年,月,男,女,合計,年紀
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,5806,5578,11384,0歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,243,368,611,100歲以上
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,10050,8874,18924,10歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9612,8928,18540,11歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8306,7377,15683,12歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8131,7569,15700,13歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8475,8147,16622,14歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9031,8357,17388,15歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9648,8480,18128,16歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9735,8721,18456,17歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,10000,9016,19016,18歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,10284,9175,19459,19歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,6986,6797,13783,1歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,11313,10286,21599,20歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,12005,10530,22535,21歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,13696,12298,25994,22歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,13732,12503,26235,23歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,13029,12237,25266,24歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14059,13249,27308,25歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15439,14727,30166,26歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15768,14783,30551,27歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15846,15029,30875,28歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16372,15525,31897,29歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,7824,7241,15065,2歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16158,15158,31316,30歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16568,14491,31059,31歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16001,15081,31082,32歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15863,15653,31516,33歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15468,15268,30736,34歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14793,15321,30114,35歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14107,14696,28803,36歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14579,15752,30331,37歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16148,17162,33310,38歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17484,17170,34654,39歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,7758,7415,15173,3歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,18578,19062,37640,40歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,19227,20615,39842,41歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,19526,20558,40084,42歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,19186,20477,39663,43歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,19162,20552,39714,44歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17630,19747,37377,45歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,18959,21350,40309,46歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17917,20933,38850,47歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17034,20519,37553,48歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16758,20716,37474,49歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8375,7263,15638,4歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16436,21093,37529,50歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16742,21286,38028,51歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17630,21446,39076,52歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,18289,22525,40814,53歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17426,22320,39746,54歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17309,22160,39469,55歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17033,21529,38562,56歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17050,21598,38648,57歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17497,21120,38617,58歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17924,22101,40025,59歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8533,8369,16902,5歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,17386,21214,38600,60歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16694,20477,37171,61歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,16328,20151,36479,62歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15074,20078,35152,63歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15536,19598,35134,64歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,15300,18527,33827,65歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14906,17564,32470,66歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,14614,18427,33041,67歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,13810,17378,31188,68歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,12833,16103,28936,69歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9533,8785,18318,6歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,13166,15143,28309,70歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,12885,15643,28528,71歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,11162,13676,24838,72歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9711,11735,21446,73歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8459,10624,19083,74歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,7051,8948,15999,75歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,5459,7140,12599,76歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,4024,4878,8902,77歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,4392,5247,9639,78歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,4652,5790,10442,79歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9890,9580,19470,7歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,4065,5588,9653,80歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,3635,5272,8907,81歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,3523,4419,7942,82歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,2951,4267,7218,83歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,2408,3888,6296,84歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,2212,3237,5449,85歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1719,2520,4239,86歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1515,2368,3883,87歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1485,2247,3732,88歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1133,1670,2803,89歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,9490,9430,18920,8歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1051,1491,2542,90歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,1049,1340,2389,91歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,867,1251,2118,92歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,814,949,1763,93歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,637,927,1564,94歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,508,630,1138,95歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,272,595,867,96歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,208,368,576,97歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,242,217,459,98歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,129,136,265,99歲
淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區淡水區,1344.0,78.0,8988,8695,17683,9歲
