行政區,年,月,男,女,合計,年紀
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,555,623,1178,0歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,26,50,76,100歲以上
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,946,902,1848,10歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,908,756,1664,11歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,751,748,1499,12歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,849,689,1538,13歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,879,917,1796,14歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,988,1043,2031,15歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1087,1007,2094,16歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1313,1001,2314,17歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1376,1183,2559,18歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1411,1153,2564,19歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,655,732,1387,1歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1738,1382,3120,20歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1568,1558,3126,21歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2024,1773,3797,22歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2111,1689,3800,23歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1960,1686,3646,24歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2095,1870,3965,25歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2307,2085,4392,26歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2327,2067,4394,27歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2444,2014,4458,28歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2382,2005,4387,29歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,820,695,1515,2歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2282,1917,4199,30歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2436,1984,4420,31歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2354,1760,4114,32歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2291,1724,4015,33歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2072,1783,3855,34歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1694,1683,3377,35歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1773,1408,3181,36歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1620,1486,3106,37歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1991,1709,3700,38歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2124,1766,3890,39歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,930,617,1547,3歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2027,1818,3845,40歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2144,2103,4247,41歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2124,2083,4207,42歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2113,2446,4559,43歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2033,2346,4379,44歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1894,2172,4066,45歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2122,2565,4687,46歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2052,2332,4384,47歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1927,2159,4086,48歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1909,2085,3994,49歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,879,717,1596,4歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2038,2180,4218,50歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2333,2456,4789,51歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2327,2535,4862,52歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2501,2479,4980,53歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2335,2802,5137,54歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2448,3141,5589,55歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2494,2809,5303,56歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2650,3087,5737,57歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2659,2727,5386,58歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2879,2983,5862,59歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,921,729,1650,5歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2778,2793,5571,60歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2752,2676,5428,61歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2461,2502,4963,62歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2365,2522,4887,63歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,2378,2701,5079,64歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1862,2252,4114,65歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1969,2093,4062,66歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1963,2119,4082,67歲
深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區深坑區,1344.0,78.0,1829,2140,3969,68歲
