行政區,年,月,男,女,合計,年紀
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,349.0,349.0,565757545554685555596266,0歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0112.0,78.0,0.0,0.0,000000000000,100歲以上
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,265.0,360.0,555456545155514853494554,10歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0,78.0,248.0,307.0,435348494137524255494640,11歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,214.0,308.0,533943423748413132524955,12歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112.0112,78.0,256.0,360.0,534948505949545551494554,13歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0,78.0,329.0,347.0,566152595761565658525256,14歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,371.0,297.0,526153535756615158545755,15歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,383.0,282.0,585457575955575356565251,16歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0112.0,78.0,443.0,350.0,715778555364587163717874,17歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0112.0,78.0,463.0,403.0,816568817679727568656868,18歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112.0112.0112.0112.0112112.0112.0,78.0,348.0,379.0,625957585763626063646260,19歲
烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區烏來區,112.0112.0112.0112.0112.0112112.0112.0112.0112.0112.0112.0,78.0,362.0,340.0,505654586160546461576463,1歲
