行政區,年,月,男,女,合計,年紀
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,951,968,1919,0歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,56,74,130,100歲以上
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1251,1535,2786,10歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1277,1283,2560,11歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1039,1134,2173,12歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1113,1004,2117,13歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1490,1053,2543,14歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1370,1393,2763,15歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1634,1534,3168,16歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1589,1612,3201,17歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1848,1780,3628,18歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2213,1883,4096,19歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1131,1045,2176,1歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2239,2280,4519,20歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2502,2321,4823,21歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2911,2702,5613,22歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2806,2411,5217,23歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2553,2334,4887,24歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2465,2629,5094,25歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,2768,2796,5564,26歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,3180,2693,5873,27歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,3268,2708,5976,28歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,3283,3068,6351,29歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,1021,1242,2263,2歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,3538,2957,6495,30歲
瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區瑞芳區,1344.0,78.0,3557,2536,6093,31歲
