行政區,年,月,男,女,合計,年紀
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,137,165,302,0歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,40,23,63,100歲以上
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,243,226,469,10歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,162,252,414,11歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,143,155,298,12歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,178,147,325,13歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,249,137,386,14歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,237,181,418,15歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,409,276,685,16歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,448,355,803,17歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,380,527,907,18歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,416,547,963,19歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,135,243,378,1歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,520,409,929,20歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,472,476,948,21歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,528,487,1015,22歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,605,517,1122,23歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,647,519,1166,24歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,558,591,1149,25歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,675,533,1208,26歲
石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區石碇區,1344.0,78.0,506,614,1120,27歲
