行政區,年,月,男,女,合計,年紀
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,340,205,545,0歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,6,60,66,100歲以上
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,452,312,764,10歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,303,411,714,11歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,318,317,635,12歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,287,303,590,13歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,431,345,776,14歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,539,418,957,15歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,605,352,957,16歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,569,438,1007,17歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,533,547,1080,18歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,611,695,1306,19歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,334,254,588,1歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,794,870,1664,20歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,894,822,1716,21歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1059,861,1920,22歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,865,853,1718,23歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,838,573,1411,24歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,934,781,1715,25歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1172,985,2157,26歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1156,927,2083,27歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,953,1004,1957,28歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1012,953,1965,29歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,283,263,546,2歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,924,762,1686,30歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,947,882,1829,31歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,907,804,1711,32歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,869,722,1591,33歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,906,802,1708,34歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,824,762,1586,35歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,750,693,1443,36歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,723,719,1442,37歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,921,750,1671,38歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,891,950,1841,39歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,251,395,646,3歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1056,1037,2093,40歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1108,1123,2231,41歲
石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區石門區,1344.0,78.0,1085,1300,2385,42歲
