行政區,年,月,男,女,合計,年紀
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,596,588,1184,0歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,35,10,45,100歲以上
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,858,627,1485,10歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,643,640,1283,11歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,527,490,1017,12歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,671,519,1190,13歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,831,675,1506,14歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,858,864,1722,15歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,1009,937,1946,16歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,995,898,1893,17歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,1082,1178,2260,18歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,1132,1229,2361,19歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,673,667,1340,1歲
萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區萬里區,1344.0,78.0,1294,1230,2524,20歲
