行政區,年,月,男,女,合計,年紀
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,6687,6366,13053,0歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,60,121,181,100歲以上
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,12383,10415,22798,10歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,11307,10137,21444,11歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,8847,8226,17073,12歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,9804,8598,18402,13歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,10881,9469,20350,14歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,11406,10291,21697,15歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,11890,10874,22764,16歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,11425,10549,21974,17歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,11739,11403,23142,18歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,12956,11615,24571,19歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,8046,7576,15622,1歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,13794,12097,25891,20歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,14443,12723,27166,21歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,16653,15676,32329,22歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,17379,15665,33044,23歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,16278,15090,31368,24歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,17317,15413,32730,25歲
蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區蘆洲區,1344.0,78.0,19401,17337,36738,26歲
