行政區,年,月,男,女,合計,年紀
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,273,165,438,0歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,3,34,37,100歲以上
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,219,216,435,10歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,245,211,456,11歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,217,149,366,12歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,157,182,339,13歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,284,212,496,14歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,333,298,631,15歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,382,278,660,16歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,399,325,724,17歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,440,502,942,18歲
貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區貢寮區,1344.0,78.0,514,502,1016,19歲
