行政區,年,月,男,女,合計,年紀
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,566,632,1198,0歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,22,30,52,100歲以上
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,811,652,1463,10歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,665,719,1384,11歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,517,551,1068,12歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,713,613,1326,13歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,773,775,1548,14歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,854,838,1692,15歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,949,1018,1967,16歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,970,896,1866,17歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1107,892,1999,18歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1264,1161,2425,19歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,682,543,1225,1歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1310,1307,2617,20歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1310,1469,2779,21歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1511,1504,3015,22歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1850,1233,3083,23歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1644,1554,3198,24歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1675,1781,3456,25歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1665,1846,3511,26歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1844,1693,3537,27歲
金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區金山區,1344.0,78.0,1743,1969,3712,28歲
