行政區,年,月,男,女,合計,年紀
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,174,79,253,0歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,11,50,61,100歲以上
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,219,194,413,10歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,202,215,417,11歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,157,204,361,12歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,219,188,407,13歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,278,196,474,14歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,364,264,628,15歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,359,243,602,16歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,302,324,626,17歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,292,364,656,18歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,412,269,681,19歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,171,147,318,1歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,475,333,808,20歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,417,445,862,21歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,430,474,904,22歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,425,396,821,23歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,402,421,823,24歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,549,431,980,25歲
雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區雙溪區,1344.0,78.0,560,468,1028,26歲
