行政區,年,月,男,女,合計,年紀
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,3196,3051,6247,0歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,47,77,124,100歲以上
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,5207,4819,10026,10歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,4897,4970,9867,11歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,4304,3996,8300,12歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,4535,3821,8356,13歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,4760,4629,9389,14歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,5145,4677,9822,15歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,5062,4940,10002,16歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,5329,4782,10111,17歲
鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區鶯歌區,1344.0,78.0,5045,4757,9802,18歲
