行政區,年,月,年齡,男,女,合計
新店區,112,6,0歲,659,667,1326
新店區,112,6,1歲,866,786,1652
新店區,112,6,2歲,867,829,1696
新店區,112,6,3歲,923,876,1799
新店區,112,6,4歲,859,852,1711
新店區,112,6,5歲,954,891,1845
新店區,112,6,6歲,1069,1011,2080
新店區,112,6,7歲,1072,1029,2101
新店區,112,6,8歲,1062,964,2026
新店區,112,6,9歲,941,890,1831
新店區,112,6,10歲,1035,1033,2068
新店區,112,6,11歲,923,861,1784
新店區,112,6,12歲,799,765,1564
新店區,112,6,13歲,875,862,1737
新店區,112,6,14歲,950,937,1887
新店區,112,6,15歲,1086,1073,2159
新店區,112,6,16歲,1137,1045,2182
新店區,112,6,17歲,1098,1092,2190
新店區,112,6,18歲,1210,1129,2339
新店區,112,6,19歲,1258,1161,2419
新店區,112,6,20歲,1360,1340,2700
新店區,112,6,21歲,1533,1368,2901
新店區,112,6,22歲,1668,1623,3291
新店區,112,6,23歲,1734,1672,3406
新店區,112,6,24歲,1695,1609,3304
新店區,112,6,25歲,1936,1789,3725
新店區,112,6,26歲,2031,1830,3861
新店區,112,6,27歲,2041,2019,4060
新店區,112,6,28歲,2039,1988,4027
新店區,112,6,29歲,2076,2058,4134
新店區,112,6,30歲,2134,1961,4095
新店區,112,6,31歲,2052,1931,3983
新店區,112,6,32歲,2073,1942,4015
新店區,112,6,33歲,2098,1899,3997
新店區,112,6,34歲,1928,1962,3890
新店區,112,6,35歲,1859,1873,3732
新店區,112,6,36歲,1813,1764,3577
新店區,112,6,37歲,1962,1934,3896
新店區,112,6,38歲,2066,2127,4193
新店區,112,6,39歲,2220,2163,4383
新店區,112,6,40歲,2128,2279,4407
新店區,112,6,41歲,2312,2366,4678
新店區,112,6,42歲,2285,2245,4530
新店區,112,6,43歲,2271,2401,4672
新店區,112,6,44歲,2227,2388,4615
新店區,112,6,45歲,2160,2357,4517
新店區,112,6,46歲,2376,2626,5002
新店區,112,6,47歲,2148,2393,4541
新店區,112,6,48歲,2107,2485,4592
新店區,112,6,49歲,2241,2430,4671
新店區,112,6,50歲,2276,2591,4867
新店區,112,6,51歲,2417,2573,4990
新店區,112,6,52歲,2356,2681,5037
新店區,112,6,53歲,2496,2775,5271
新店區,112,6,54歲,2547,2852,5399
新店區,112,6,55歲,2420,2789,5209
新店區,112,6,56歲,2399,2778,5177
新店區,112,6,57歲,2465,2711,5176
新店區,112,6,58歲,2577,3017,5594
新店區,112,6,59歲,2493,2859,5352
新店區,112,6,60歲,2495,2965,5460
新店區,112,6,61歲,2390,2881,5271
新店區,112,6,62歲,2337,2845,5182
新店區,112,6,63歲,2279,2716,4995
新店區,112,6,64歲,2349,2790,5139
新店區,112,6,65歲,2127,2639,4766
新店區,112,6,66歲,2113,2648,4761
新店區,112,6,67歲,2287,2653,4940
新店區,112,6,68歲,2145,2628,4773
新店區,112,6,69歲,2033,2532,4565
新店區,112,6,70歲,1900,2407,4307
新店區,112,6,71歲,1917,2374,4291
新店區,112,6,72歲,1775,2124,3899
新店區,112,6,73歲,1478,1924,3402
新店區,112,6,74歲,1322,1736,3058
新店區,112,6,75歲,1095,1482,2577
新店區,112,6,76歲,912,1303,2215
新店區,112,6,77歲,680,940,1620
新店區,112,6,78歲,647,951,1598
新店區,112,6,79歲,732,1020,1752
新店區,112,6,80歲,649,935,1584
新店區,112,6,81歲,557,861,1418
新店區,112,6,82歲,532,796,1328
新店區,112,6,83歲,405,770,1175
新店區,112,6,84歲,362,585,947
新店區,112,6,85歲,292,539,831
新店區,112,6,86歲,283,507,790
新店區,112,6,87歲,220,417,637
新店區,112,6,88歲,200,373,573
新店區,112,6,89歲,208,284,492
新店區,112,6,90歲,188,250,438
新店區,112,6,91歲,205,206,411
新店區,112,6,92歲,176,194,370
新店區,112,6,93歲,159,156,315
新店區,112,6,94歲,118,121,239
新店區,112,6,95歲,95,108,203
新店區,112,6,96歲,62,67,129
新店區,112,6,97歲,47,63,110
新店區,112,6,98歲,45,41,86
新店區,112,6,99歲,29,36,65
新店區,112,6,100歲以上,81,64,145
總計,,,,144588,158132,302720


              
