行政區,年,月,年齡,男,女,合計
新莊區,112,5,0歲,1244,1189,2433
新莊區,112,5,1歲,1510,1420,2930
新莊區,112,5,2歲,1576,1531,3107
新莊區,112,5,3歲,1777,1565,3342
新莊區,112,5,4歲,1876,1710,3586
新莊區,112,5,5歲,1889,1791,3680
新莊區,112,5,6歲,2202,2053,4255
新莊區,112,5,7歲,2201,2129,4330
新莊區,112,5,8歲,2282,2177,4459
新莊區,112,5,9歲,2112,1961,4073
新莊區,112,5,10歲,2385,2226,4611
新莊區,112,5,11歲,2116,2175,4291
新莊區,112,5,12歲,1809,1738,3547
新莊區,112,5,13歲,1911,1780,3691
新莊區,112,5,14歲,2023,1810,3833
新莊區,112,5,15歲,2084,1915,3999
新莊區,112,5,16歲,1973,1822,3795
新莊區,112,5,17歲,2021,1826,3847
新莊區,112,5,18歲,2066,1869,3935
新莊區,112,5,19歲,2063,1891,3954
新莊區,112,5,20歲,2204,1984,4188
新莊區,112,5,21歲,2356,2150,4506
新莊區,112,5,22歲,2722,2488,5210
新莊區,112,5,23歲,2628,2459,5087
新莊區,112,5,24歲,2404,2280,4684
新莊區,112,5,25歲,2831,2636,5467
新莊區,112,5,26歲,2951,2772,5723
新莊區,112,5,27歲,2918,2875,5793
新莊區,112,5,28歲,2986,2820,5806
新莊區,112,5,29歲,3132,2912,6044
新莊區,112,5,30歲,3098,2979,6077
新莊區,112,5,31歲,3145,2941,6086
新莊區,112,5,32歲,3228,3120,6348
新莊區,112,5,33歲,3101,3021,6122
新莊區,112,5,34歲,3341,3246,6587
新莊區,112,5,35歲,3123,3023,6146
新莊區,112,5,36歲,2994,2983,5977
新莊區,112,5,37歲,3256,3266,6522
新莊區,112,5,38歲,3563,3685,7248
新莊區,112,5,39歲,3643,3749,7392
新莊區,112,5,40歲,3737,4020,7757
新莊區,112,5,41歲,3942,4089,8031
新莊區,112,5,42歲,4080,4324,8404
新莊區,112,5,43歲,4075,4257,8332
新莊區,112,5,44歲,3962,4291,8253
新莊區,112,5,45歲,3715,3963,7678
新莊區,112,5,46歲,3906,4152,8058
新莊區,112,5,47歲,3402,3610,7012
新莊區,112,5,48歲,3179,3579,6758
新莊區,112,5,49歲,3016,3264,6280
新莊區,112,5,50歲,2917,3069,5986
新莊區,112,5,51歲,2879,3139,6018
新莊區,112,5,52歲,2889,3225,6114
新莊區,112,5,53歲,2910,3269,6179
新莊區,112,5,54歲,2721,3242,5963
新莊區,112,5,55歲,2600,3128,5728
新莊區,112,5,56歲,2582,3239,5821
新莊區,112,5,57歲,2566,3257,5823
新莊區,112,5,58歲,2721,3410,6131
新莊區,112,5,59歲,2759,3452,6211
新莊區,112,5,60歲,2713,3562,6275
新莊區,112,5,61歲,2820,3376,6196
新莊區,112,5,62歲,2681,3237,5918
新莊區,112,5,63歲,2575,3314,5889
新莊區,112,5,64歲,2713,3270,5983
新莊區,112,5,65歲,2383,2954,5337
新莊區,112,5,66歲,2440,3037,5477
新莊區,112,5,67歲,2411,3030,5441
新莊區,112,5,68歲,2441,2908,5349
新莊區,112,5,69歲,2112,2646,4758
新莊區,112,5,70歲,1958,2469,4427
新莊區,112,5,71歲,2024,2443,4467
新莊區,112,5,72歲,1772,2053,3825
新莊區,112,5,73歲,1529,1775,3304
新莊區,112,5,74歲,1414,1610,3024
新莊區,112,5,75歲,1140,1271,2411
新莊區,112,5,76歲,994,1018,2012
新莊區,112,5,77歲,646,726,1372
新莊區,112,5,78歲,782,788,1570
新莊區,112,5,79歲,677,780,1457
新莊區,112,5,80歲,583,684,1267
新莊區,112,5,81歲,523,615,1138
新莊區,112,5,82歲,477,600,1077
新莊區,112,5,83歲,381,527,908
新莊區,112,5,84歲,313,495,808
新莊區,112,5,85歲,263,375,638
新莊區,112,5,86歲,229,316,545
新莊區,112,5,87歲,173,278,451
新莊區,112,5,88歲,148,228,376
新莊區,112,5,89歲,112,197,309
新莊區,112,5,90歲,94,158,252
新莊區,112,5,91歲,85,126,211
新莊區,112,5,92歲,73,114,187
新莊區,112,5,93歲,59,76,135
新莊區,112,5,94歲,54,55,109
新莊區,112,5,95歲,32,50,82
新莊區,112,5,96歲,21,44,65
新莊區,112,5,97歲,15,23,38
新莊區,112,5,98歲,16,22,38
新莊區,112,5,99歲,5,11,16
新莊區,112,5,100歲以上,18,23,41
總計,,,,205201,217230,422431


              
