¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
ªO¾ô°Ï,112,11,0·³,1297,1251,2548
ªO¾ô°Ï,112,11,1·³,1625,1516,3141
ªO¾ô°Ï,112,11,2·³,1942,1768,3710
ªO¾ô°Ï,112,11,3·³,2012,1901,3913
ªO¾ô°Ï,112,11,4·³,2221,2038,4259
ªO¾ô°Ï,112,11,5·³,2301,2121,4422
ªO¾ô°Ï,112,11,6·³,2515,2379,4894
ªO¾ô°Ï,112,11,7·³,2706,2598,5304
ªO¾ô°Ï,112,11,8·³,2793,2664,5457
ªO¾ô°Ï,112,11,9·³,2832,2707,5539
ªO¾ô°Ï,112,11,10·³,2665,2532,5197
ªO¾ô°Ï,112,11,11·³,3229,2971,6200
ªO¾ô°Ï,112,11,12·³,2660,2460,5120
ªO¾ô°Ï,112,11,13·³,2230,2036,4266
ªO¾ô°Ï,112,11,14·³,2571,2312,4883
ªO¾ô°Ï,112,11,15·³,2552,2299,4851
ªO¾ô°Ï,112,11,16·³,2472,2232,4704
ªO¾ô°Ï,112,11,17·³,2531,2367,4898
ªO¾ô°Ï,112,11,18·³,2419,2242,4661
ªO¾ô°Ï,112,11,19·³,2544,2305,4849
ªO¾ô°Ï,112,11,20·³,2658,2319,4977
ªO¾ô°Ï,112,11,21·³,2712,2496,5208
ªO¾ô°Ï,112,11,22·³,2951,2689,5640
ªO¾ô°Ï,112,11,23·³,3394,3097,6491
ªO¾ô°Ï,112,11,24·³,3062,2847,5909
ªO¾ô°Ï,112,11,25·³,2869,2652,5521
ªO¾ô°Ï,112,11,26·³,3427,3264,6691
ªO¾ô°Ï,112,11,27·³,3430,3191,6621
ªO¾ô°Ï,112,11,28·³,3428,3331,6759
ªO¾ô°Ï,112,11,29·³,3440,3313,6753
ªO¾ô°Ï,112,11,30·³,3512,3407,6919
ªO¾ô°Ï,112,11,31·³,3594,3421,7015
ªO¾ô°Ï,112,11,32·³,3684,3555,7239
ªO¾ô°Ï,112,11,33·³,3970,3729,7699
ªO¾ô°Ï,112,11,34·³,3771,3662,7433
ªO¾ô°Ï,112,11,35·³,4009,3984,7993
ªO¾ô°Ï,112,11,36·³,3660,3749,7409
ªO¾ô°Ï,112,11,37·³,3744,3944,7688
ªO¾ô°Ï,112,11,38·³,4313,4394,8707
ªO¾ô°Ï,112,11,39·³,4618,4729,9347
ªO¾ô°Ï,112,11,40·³,4782,5004,9786
ªO¾ô°Ï,112,11,41·³,5160,5405,10565
ªO¾ô°Ï,112,11,42·³,5348,5442,10790
ªO¾ô°Ï,112,11,43·³,5154,5500,10654
ªO¾ô°Ï,112,11,44·³,5404,5504,10908
ªO¾ô°Ï,112,11,45·³,5117,5451,10568
ªO¾ô°Ï,112,11,46·³,4976,5166,10142
ªO¾ô°Ï,112,11,47·³,5268,5321,10589
ªO¾ô°Ï,112,11,48·³,4324,4694,9018
ªO¾ô°Ï,112,11,49·³,4215,4543,8758
ªO¾ô°Ï,112,11,50·³,4072,4400,8472
ªO¾ô°Ï,112,11,51·³,4036,4120,8156
ªO¾ô°Ï,112,11,52·³,3998,4259,8257
ªO¾ô°Ï,112,11,53·³,3980,4222,8202
