行政區,年,月,年齡,男,女,合計
林口區,112,2,0歲,517,465,982
林口區,112,2,1歲,631,608,1239
林口區,112,2,2歲,692,660,1352
林口區,112,2,3歲,773,710,1483
林口區,112,2,4歲,738,706,1444
林口區,112,2,5歲,821,796,1617
林口區,112,2,6歲,880,852,1732
林口區,112,2,7歲,947,835,1782
林口區,112,2,8歲,953,886,1839
林口區,112,2,9歲,809,805,1614
林口區,112,2,10歲,1036,911,1947
林口區,112,2,11歲,922,880,1802
林口區,112,2,12歲,728,635,1363
林口區,112,2,13歲,751,720,1471
林口區,112,2,14歲,726,668,1394
林口區,112,2,15歲,674,671,1345
林口區,112,2,16歲,648,617,1265
林口區,112,2,17歲,613,529,1142
林口區,112,2,18歲,668,578,1246
林口區,112,2,19歲,610,546,1156
林口區,112,2,20歲,669,562,1231
林口區,112,2,21歲,654,589,1243
林口區,112,2,22歲,796,730,1526
林口區,112,2,23歲,684,700,1384
林口區,112,2,24歲,692,667,1359
林口區,112,2,25歲,847,748,1595
林口區,112,2,26歲,807,778,1585
林口區,112,2,27歲,776,808,1584
林口區,112,2,28歲,836,805,1641
林口區,112,2,29歲,816,770,1586
林口區,112,2,30歲,806,811,1617
林口區,112,2,31歲,824,809,1633
林口區,112,2,32歲,886,905,1791
林口區,112,2,33歲,856,889,1745
林口區,112,2,34歲,964,1052,2016
林口區,112,2,35歲,842,898,1740
林口區,112,2,36歲,830,895,1725
林口區,112,2,37歲,885,1054,1939
林口區,112,2,38歲,1008,1139,2147
林口區,112,2,39歲,1036,1180,2216
林口區,112,2,40歲,1038,1307,2345
林口區,112,2,41歲,1179,1417,2596
林口區,112,2,42歲,1188,1290,2478
林口區,112,2,43歲,1145,1379,2524
林口區,112,2,44歲,1239,1410,2649
林口區,112,2,45歲,1092,1272,2364
林口區,112,2,46歲,1302,1435,2737
林口區,112,2,47歲,1116,1118,2234
林口區,112,2,48歲,983,1048,2031
林口區,112,2,49歲,973,1085,2058
林口區,112,2,50歲,913,1006,1919
林口區,112,2,51歲,956,991,1947
林口區,112,2,52歲,867,1021,1888
林口區,112,2,53歲,887,1005,1892
林口區,112,2,54歲,885,952,1837
林口區,112,2,55歲,847,967,1814
林口區,112,2,56歲,811,960,1771
林口區,112,2,57歲,796,925,1721
林口區,112,2,58歲,857,941,1798
林口區,112,2,59歲,828,990,1818
林口區,112,2,60歲,775,873,1648
林口區,112,2,61歲,772,797,1569
林口區,112,2,62歲,718,847,1565
林口區,112,2,63歲,735,828,1563
林口區,112,2,64歲,705,791,1496
林口區,112,2,65歲,600,700,1300
林口區,112,2,66歲,634,735,1369
林口區,112,2,67歲,577,677,1254
林口區,112,2,68歲,557,662,1219
林口區,112,2,69歲,548,687,1235
林口區,112,2,70歲,513,557,1070
林口區,112,2,71歲,503,598,1101
林口區,112,2,72歲,427,534,961
林口區,112,2,73歲,374,445,819
林口區,112,2,74歲,312,368,680
林口區,112,2,75歲,289,355,644
林口區,112,2,76歲,203,240,443
林口區,112,2,77歲,176,223,399
林口區,112,2,78歲,205,216,421
林口區,112,2,79歲,192,226,418
林口區,112,2,80歲,167,212,379
林口區,112,2,81歲,147,169,316
林口區,112,2,82歲,135,180,315
林口區,112,2,83歲,124,164,288
林口區,112,2,84歲,100,134,234
林口區,112,2,85歲,64,108,172
林口區,112,2,86歲,69,106,175
林口區,112,2,87歲,69,92,161
林口區,112,2,88歲,43,89,132
林口區,112,2,89歲,41,62,103
林口區,112,2,90歲,37,69,106
林口區,112,2,91歲,31,56,87
林口區,112,2,92歲,34,37,71
林口區,112,2,93歲,31,33,64
林口區,112,2,94歲,20,32,52
林口區,112,2,95歲,16,27,43
林口區,112,2,96歲,20,15,35
林口區,112,2,97歲,13,16,29
林口區,112,2,98歲,4,13,17
林口區,112,2,99歲,5,9,14
林口區,112,2,100歲以上,10,13,23
總計,,,,62548,66381,128929


              
