行政區,年,月,年齡,男,女,合計
樹林區,112,10,0歲,464,443,907
樹林區,112,10,1歲,565,532,1097
樹林區,112,10,2歲,643,622,1265
樹林區,112,10,3歲,651,649,1300
樹林區,112,10,4歲,760,695,1455
樹林區,112,10,5歲,766,687,1453
樹林區,112,10,6歲,851,755,1606
樹林區,112,10,7歲,911,802,1713
樹林區,112,10,8歲,877,853,1730
樹林區,112,10,9歲,894,779,1673
樹林區,112,10,10歲,865,809,1674
樹林區,112,10,11歲,932,894,1826
樹林區,112,10,12歲,829,743,1572
樹林區,112,10,13歲,689,663,1352
樹林區,112,10,14歲,875,752,1627
樹林區,112,10,15歲,929,758,1687
樹林區,112,10,16歲,943,814,1757
樹林區,112,10,17歲,919,822,1741
樹林區,112,10,18歲,881,839,1720
樹林區,112,10,19歲,973,852,1825
樹林區,112,10,20歲,973,926,1899
樹林區,112,10,21歲,995,955,1950
樹林區,112,10,22歲,1147,1046,2193
樹林區,112,10,23歲,1247,1121,2368
樹林區,112,10,24歲,1161,1126,2287
樹林區,112,10,25歲,1222,1034,2256
樹林區,112,10,26歲,1393,1233,2626
樹林區,112,10,27歲,1321,1194,2515
樹林區,112,10,28歲,1275,1278,2553
樹林區,112,10,29歲,1302,1184,2486
樹林區,112,10,30歲,1445,1267,2712
樹林區,112,10,31歲,1411,1273,2684
樹林區,112,10,32歲,1333,1221,2554
樹林區,112,10,33歲,1402,1280,2682
樹林區,112,10,34歲,1303,1191,2494
樹林區,112,10,35歲,1392,1222,2614
樹林區,112,10,36歲,1280,1264,2544
樹林區,112,10,37歲,1225,1211,2436
樹林區,112,10,38歲,1344,1336,2680
樹林區,112,10,39歲,1418,1444,2862
樹林區,112,10,40歲,1656,1591,3247
樹林區,112,10,41歲,1611,1709,3320
樹林區,112,10,42歲,1668,1739,3407
樹林區,112,10,43歲,1730,1650,3380
樹林區,112,10,44歲,1733,1726,3459
樹林區,112,10,45歲,1670,1664,3334
樹林區,112,10,46歲,1581,1585,3166
樹林區,112,10,47歲,1570,1619,3189
樹林區,112,10,48歲,1345,1396,2741
樹林區,112,10,49歲,1373,1372,2745
樹林區,112,10,50歲,1254,1402,2656
樹林區,112,10,51歲,1270,1408,2678
樹林區,112,10,52歲,1237,1355,2592
樹林區,112,10,53歲,1284,1382,2666
樹林區,112,10,54歲,1262,1401,2663
樹林區,112,10,55歲,1253,1351,2604
樹林區,112,10,56歲,1168,1380,2548
樹林區,112,10,57歲,1190,1444,2634
樹林區,112,10,58歲,1302,1468,2770
樹林區,112,10,59歲,1267,1361,2628
樹林區,112,10,60歲,1336,1524,2860
樹林區,112,10,61歲,1323,1486,2809
樹林區,112,10,62歲,1277,1438,2715
樹林區,112,10,63歲,1233,1393,2626
樹林區,112,10,64歲,1218,1381,2599
樹林區,112,10,65歲,1145,1342,2487
樹林區,112,10,66歲,1090,1308,2398
樹林區,112,10,67歲,1118,1338,2456
樹林區,112,10,68歲,1088,1252,2340
樹林區,112,10,69歲,998,1113,2111
樹林區,112,10,70歲,921,1071,1992
樹林區,112,10,71歲,889,978,1867
樹林區,112,10,72歲,857,914,1771
樹林區,112,10,73歲,662,675,1337
樹林區,112,10,74歲,607,651,1258
樹林區,112,10,75歲,459,534,993
樹林區,112,10,76歲,413,401,814
樹林區,112,10,77歲,296,378,674
樹林區,112,10,78歲,301,314,615
樹林區,112,10,79歲,315,345,660
樹林區,112,10,80歲,269,350,619
樹林區,112,10,81歲,260,304,564
樹林區,112,10,82歲,224,313,537
樹林區,112,10,83歲,223,272,495
樹林區,112,10,84歲,190,237,427
樹林區,112,10,85歲,137,204,341
樹林區,112,10,86歲,146,160,306
樹林區,112,10,87歲,114,170,284
樹林區,112,10,88歲,79,120,199
樹林區,112,10,89歲,57,94,151
樹林區,112,10,90歲,62,73,135
樹林區,112,10,91歲,48,77,125
樹林區,112,10,92歲,52,61,113
樹林區,112,10,93歲,36,47,83
樹林區,112,10,94歲,22,32,54
樹林區,112,10,95歲,20,25,45
樹林區,112,10,96歲,12,28,40
樹林區,112,10,97歲,11,12,23
樹林區,112,10,98歲,7,11,18
樹林區,112,10,99歲,3,4,7
樹林區,112,10,100歲以上,6,9,15
總計,,,,89754,91011,180765


              
