行政區,年,月,年齡,男,女,合計
永和區,112,1,0歲,464,427,891
永和區,112,1,1歲,553,510,1063
永和區,112,1,2歲,581,518,1099
永和區,112,1,3歲,667,582,1249
永和區,112,1,4歲,692,618,1310
永和區,112,1,5歲,730,745,1475
永和區,112,1,6歲,889,821,1710
永和區,112,1,7歲,933,918,1851
永和區,112,1,8歲,1001,920,1921
永和區,112,1,9歲,913,819,1732
永和區,112,1,10歲,1121,1139,2260
永和區,112,1,11歲,1156,1061,2217
永和區,112,1,12歲,942,893,1835
永和區,112,1,13歲,969,896,1865
永和區,112,1,14歲,949,913,1862
永和區,112,1,15歲,965,891,1856
永和區,112,1,16歲,919,831,1750
永和區,112,1,17歲,881,831,1712
永和區,112,1,18歲,966,814,1780
永和區,112,1,19歲,907,890,1797
永和區,112,1,20歲,1082,968,2050
永和區,112,1,21歲,1000,908,1908
永和區,112,1,22歲,1200,1221,2421
永和區,112,1,23歲,1155,1097,2252
永和區,112,1,24歲,1071,1025,2096
永和區,112,1,25歲,1353,1209,2562
永和區,112,1,26歲,1297,1196,2493
永和區,112,1,27歲,1335,1211,2546
永和區,112,1,28歲,1268,1249,2517
永和區,112,1,29歲,1304,1182,2486
永和區,112,1,30歲,1279,1201,2480
永和區,112,1,31歲,1326,1208,2534
永和區,112,1,32歲,1288,1241,2529
永和區,112,1,33歲,1211,1182,2393
永和區,112,1,34歲,1371,1316,2687
永和區,112,1,35歲,1180,1184,2364
永和區,112,1,36歲,1160,1209,2369
永和區,112,1,37歲,1302,1415,2717
永和區,112,1,38歲,1477,1471,2948
永和區,112,1,39歲,1478,1527,3005
永和區,112,1,40歲,1524,1764,3288
永和區,112,1,41歲,1581,1780,3361
永和區,112,1,42歲,1574,1901,3475
永和區,112,1,43歲,1717,1934,3651
永和區,112,1,44歲,1718,1900,3618
永和區,112,1,45歲,1479,1798,3277
永和區,112,1,46歲,1788,2094,3882
永和區,112,1,47歲,1520,1735,3255
永和區,112,1,48歲,1622,1709,3331
永和區,112,1,49歲,1573,1767,3340
永和區,112,1,50歲,1494,1701,3195
永和區,112,1,51歲,1548,1708,3256
永和區,112,1,52歲,1566,1760,3326
永和區,112,1,53歲,1528,1824,3352
永和區,112,1,54歲,1489,1833,3322
永和區,112,1,55歲,1485,1729,3214
永和區,112,1,56歲,1558,1830,3388
永和區,112,1,57歲,1535,1857,3392
永和區,112,1,58歲,1562,1845,3407
永和區,112,1,59歲,1563,1825,3388
永和區,112,1,60歲,1532,1910,3442
永和區,112,1,61歲,1540,1824,3364
永和區,112,1,62歲,1544,1833,3377
永和區,112,1,63歲,1464,1927,3391
永和區,112,1,64歲,1497,1841,3338
永和區,112,1,65歲,1365,1766,3131
永和區,112,1,66歲,1430,1816,3246
永和區,112,1,67歲,1429,1841,3270
永和區,112,1,68歲,1379,1786,3165
永和區,112,1,69歲,1378,1742,3120
永和區,112,1,70歲,1383,1808,3191
永和區,112,1,71歲,1323,1762,3085
永和區,112,1,72歲,1164,1476,2640
永和區,112,1,73歲,1085,1361,2446
永和區,112,1,74歲,927,1209,2136
永和區,112,1,75歲,851,1053,1904
永和區,112,1,76歲,569,805,1374
永和區,112,1,77歲,545,660,1205
永和區,112,1,78歲,531,759,1290
永和區,112,1,79歲,482,677,1159
永和區,112,1,80歲,470,702,1172
永和區,112,1,81歲,388,661,1049
永和區,112,1,82歲,370,612,982
永和區,112,1,83歲,291,539,830
永和區,112,1,84歲,238,483,721
永和區,112,1,85歲,261,467,728
永和區,112,1,86歲,191,378,569
永和區,112,1,87歲,175,317,492
永和區,112,1,88歲,136,279,415
永和區,112,1,89歲,141,223,364
永和區,112,1,90歲,159,189,348
永和區,112,1,91歲,126,186,312
永和區,112,1,92歲,122,135,257
永和區,112,1,93歲,111,123,234
永和區,112,1,94歲,98,106,204
永和區,112,1,95歲,76,82,158
永和區,112,1,96歲,55,58,113
永和區,112,1,97歲,57,52,109
永和區,112,1,98歲,21,31,52
永和區,112,1,99歲,36,19,55
永和區,112,1,100歲以上,87,54,141
總計,,,,100786,112103,212889


              
