¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
¦Á¤î°Ï,112,6,0·³,515,542,1057
¦Á¤î°Ï,112,6,1·³,620,585,1205
¦Á¤î°Ï,112,6,2·³,637,571,1208
¦Á¤î°Ï,112,6,3·³,659,605,1264
¦Á¤î°Ï,112,6,4·³,668,640,1308
¦Á¤î°Ï,112,6,5·³,690,663,1353
¦Á¤î°Ï,112,6,6·³,761,699,1460
¦Á¤î°Ï,112,6,7·³,794,703,1497
¦Á¤î°Ï,112,6,8·³,778,720,1498
¦Á¤î°Ï,112,6,9·³,707,702,1409
¦Á¤î°Ï,112,6,10·³,829,746,1575
¦Á¤î°Ï,112,6,11·³,696,665,1361
¦Á¤î°Ï,112,6,12·³,591,559,1150
¦Á¤î°Ï,112,6,13·³,651,569,1220
¦Á¤î°Ï,112,6,14·³,721,676,1397
¦Á¤î°Ï,112,6,15·³,818,727,1545
¦Á¤î°Ï,112,6,16·³,795,720,1515
¦Á¤î°Ï,112,6,17·³,830,743,1573
¦Á¤î°Ï,112,6,18·³,923,741,1664
¦Á¤î°Ï,112,6,19·³,930,853,1783
¦Á¤î°Ï,112,6,20·³,997,991,1988
¦Á¤î°Ï,112,6,21·³,1132,1044,2176
¦Á¤î°Ï,112,6,22·³,1360,1218,2578
¦Á¤î°Ï,112,6,23·³,1373,1192,2565
¦Á¤î°Ï,112,6,24·³,1322,1231,2553
¦Á¤î°Ï,112,6,25·³,1443,1380,2823
¦Á¤î°Ï,112,6,26·³,1527,1412,2939
¦Á¤î°Ï,112,6,27·³,1517,1409,2926
¦Á¤î°Ï,112,6,28·³,1556,1398,2954
¦Á¤î°Ï,112,6,29·³,1584,1438,3022
¦Á¤î°Ï,112,6,30·³,1537,1402,2939
¦Á¤î°Ï,112,6,31·³,1504,1376,2880
¦Á¤î°Ï,112,6,32·³,1574,1431,3005
¦Á¤î°Ï,112,6,33·³,1508,1353,2861
¦Á¤î°Ï,112,6,34·³,1427,1381,2808
¦Á¤î°Ï,112,6,35·³,1279,1330,2609
¦Á¤î°Ï,112,6,36·³,1266,1209,2475
¦Á¤î°Ï,112,6,37·³,1360,1343,2703
¦Á¤î°Ï,112,6,38·³,1486,1456,2942
¦Á¤î°Ï,112,6,39·³,1589,1548,3137
¦Á¤î°Ï,112,6,40·³,1670,1617,3287
¦Á¤î°Ï,112,6,41·³,1787,1770,3557
¦Á¤î°Ï,112,6,42·³,1693,1767,3460
¦Á¤î°Ï,112,6,43·³,1839,1777,3616
¦Á¤î°Ï,112,6,44·³,1769,1809,3578
¦Á¤î°Ï,112,6,45·³,1680,1816,3496
¦Á¤î°Ï,112,6,46·³,1773,1955,3728
¦Á¤î°Ï,112,6,47·³,1693,1741,3434
