行政區,年,月,年齡,男,女,合計
泰山區,112,11,0歲,207,180,387
泰山區,112,11,1歲,224,209,433
泰山區,112,11,2歲,279,239,518
泰山區,112,11,3歲,253,247,500
泰山區,112,11,4歲,314,285,599
泰山區,112,11,5歲,287,296,583
泰山區,112,11,6歲,335,313,648
泰山區,112,11,7歲,345,363,708
泰山區,112,11,8歲,393,358,751
泰山區,112,11,9歲,390,352,742
泰山區,112,11,10歲,376,336,712
泰山區,112,11,11歲,442,450,892
泰山區,112,11,12歲,415,349,764
泰山區,112,11,13歲,350,333,683
泰山區,112,11,14歲,388,365,753
泰山區,112,11,15歲,455,374,829
泰山區,112,11,16歲,420,397,817
泰山區,112,11,17歲,451,392,843
泰山區,112,11,18歲,413,371,784
泰山區,112,11,19歲,421,398,819
泰山區,112,11,20歲,437,416,853
泰山區,112,11,21歲,428,368,796
泰山區,112,11,22歲,457,431,888
泰山區,112,11,23歲,562,467,1029
泰山區,112,11,24歲,472,415,887
泰山區,112,11,25歲,472,404,876
泰山區,112,11,26歲,554,524,1078
泰山區,112,11,27歲,538,507,1045
泰山區,112,11,28歲,563,481,1044
泰山區,112,11,29歲,513,513,1026
泰山區,112,11,30歲,614,483,1097
泰山區,112,11,31歲,545,471,1016
泰山區,112,11,32歲,531,471,1002
泰山區,112,11,33歲,580,535,1115
泰山區,112,11,34歲,503,473,976
泰山區,112,11,35歲,539,523,1062
泰山區,112,11,36歲,498,501,999
泰山區,112,11,37歲,459,478,937
泰山區,112,11,38歲,556,562,1118
泰山區,112,11,39歲,588,664,1252
泰山區,112,11,40歲,634,677,1311
泰山區,112,11,41歲,671,757,1428
泰山區,112,11,42歲,732,810,1542
泰山區,112,11,43歲,744,809,1553
泰山區,112,11,44歲,813,848,1661
泰山區,112,11,45歲,811,790,1601
泰山區,112,11,46歲,764,808,1572
泰山區,112,11,47歲,826,821,1647
泰山區,112,11,48歲,666,745,1411
泰山區,112,11,49歲,690,714,1404
泰山區,112,11,50歲,662,659,1321
泰山區,112,11,51歲,598,598,1196
泰山區,112,11,52歲,609,551,1160
泰山區,112,11,53歲,612,589,1201
泰山區,112,11,54歲,566,551,1117
泰山區,112,11,55歲,458,575,1033
泰山區,112,11,56歲,512,506,1018
泰山區,112,11,57歲,517,548,1065
泰山區,112,11,58歲,502,581,1083
泰山區,112,11,59歲,464,587,1051
泰山區,112,11,60歲,519,638,1157
泰山區,112,11,61歲,469,549,1018
泰山區,112,11,62歲,493,553,1046
泰山區,112,11,63歲,423,530,953
泰山區,112,11,64歲,484,549,1033
泰山區,112,11,65歲,420,590,1010
泰山區,112,11,66歲,419,531,950
泰山區,112,11,67歲,439,556,995
泰山區,112,11,68歲,415,518,933
泰山區,112,11,69歲,418,499,917
泰山區,112,11,70歲,386,472,858
泰山區,112,11,71歲,355,461,816
泰山區,112,11,72歲,390,420,810
泰山區,112,11,73歲,295,356,651
泰山區,112,11,74歲,271,306,577
泰山區,112,11,75歲,222,293,515
泰山區,112,11,76歲,195,215,410
泰山區,112,11,77歲,158,153,311
泰山區,112,11,78歲,124,158,282
泰山區,112,11,79歲,121,166,287
泰山區,112,11,80歲,130,136,266
泰山區,112,11,81歲,73,118,191
泰山區,112,11,82歲,94,125,219
泰山區,112,11,83歲,69,104,173
泰山區,112,11,84歲,79,109,188
泰山區,112,11,85歲,55,74,129
泰山區,112,11,86歲,44,67,111
泰山區,112,11,87歲,25,48,73
泰山區,112,11,88歲,24,47,71
泰山區,112,11,89歲,22,37,59
泰山區,112,11,90歲,14,31,45
泰山區,112,11,91歲,23,28,51
泰山區,112,11,92歲,16,14,30
泰山區,112,11,93歲,16,14,30
泰山區,112,11,94歲,8,16,24
泰山區,112,11,95歲,9,9,18
泰山區,112,11,96歲,6,8,14
泰山區,112,11,97歲,5,6,11
泰山區,112,11,98歲,3,6,9
泰山區,112,11,99歲,4,2,6
泰山區,112,11,100歲以上,3,5,8
總計,,,,38156,39335,77491


              
