行政區,年,月,年齡,男,女,合計
淡水區,112,10,0歲,467,450,917
淡水區,112,10,1歲,570,562,1132
淡水區,112,10,2歲,674,618,1292
淡水區,112,10,3歲,623,619,1242
淡水區,112,10,4歲,669,593,1262
淡水區,112,10,5歲,754,676,1430
淡水區,112,10,6歲,748,738,1486
淡水區,112,10,7歲,844,771,1615
淡水區,112,10,8歲,817,838,1655
淡水區,112,10,9歲,758,736,1494
淡水區,112,10,10歲,804,716,1520
淡水區,112,10,11歲,848,771,1619
淡水區,112,10,12歲,756,665,1421
淡水區,112,10,13歲,644,595,1239
淡水區,112,10,14歲,708,713,1421
淡水區,112,10,15歲,763,698,1461
淡水區,112,10,16歲,794,682,1476
淡水區,112,10,17歲,837,736,1573
淡水區,112,10,18歲,803,765,1568
淡水區,112,10,19歲,901,755,1656
淡水區,112,10,20歲,900,839,1739
淡水區,112,10,21歲,1003,897,1900
淡水區,112,10,22歲,1105,958,2063
淡水區,112,10,23歲,1193,1099,2292
淡水區,112,10,24歲,1096,1021,2117
淡水區,112,10,25歲,1102,1057,2159
淡水區,112,10,26歲,1315,1241,2556
淡水區,112,10,27歲,1303,1242,2545
淡水區,112,10,28歲,1316,1241,2557
淡水區,112,10,29歲,1386,1305,2691
淡水區,112,10,30歲,1381,1308,2689
淡水區,112,10,31歲,1389,1239,2628
淡水區,112,10,32歲,1341,1213,2554
淡水區,112,10,33歲,1356,1363,2719
淡水區,112,10,34歲,1269,1260,2529
淡水區,112,10,35歲,1292,1280,2572
淡水區,112,10,36歲,1205,1241,2446
淡水區,112,10,37歲,1175,1341,2516
淡水區,112,10,38歲,1324,1388,2712
淡水區,112,10,39歲,1440,1444,2884
淡水區,112,10,40歲,1555,1573,3128
淡水區,112,10,41歲,1576,1684,3260
淡水區,112,10,42歲,1695,1789,3484
淡水區,112,10,43歲,1617,1674,3291
淡水區,112,10,44歲,1623,1791,3414
淡水區,112,10,45歲,1495,1667,3162
淡水區,112,10,46歲,1535,1707,3242
淡水區,112,10,47歲,1624,1874,3498
淡水區,112,10,48歲,1379,1655,3034
淡水區,112,10,49歲,1444,1777,3221
淡水區,112,10,50歲,1403,1771,3174
淡水區,112,10,51歲,1384,1773,3157
淡水區,112,10,52歲,1451,1793,3244
淡水區,112,10,53歲,1540,1892,3432
淡水區,112,10,54歲,1479,1872,3351
淡水區,112,10,55歲,1460,1871,3331
淡水區,112,10,56歲,1456,1811,3267
淡水區,112,10,57歲,1404,1856,3260
淡水區,112,10,58歲,1442,1763,3205
淡水區,112,10,59歲,1519,1824,3343
淡水區,112,10,60歲,1467,1811,3278
淡水區,112,10,61歲,1415,1720,3135
淡水區,112,10,62歲,1411,1720,3131
淡水區,112,10,63歲,1265,1677,2942
淡水區,112,10,64歲,1302,1667,2969
淡水區,112,10,65歲,1282,1592,2874
淡水區,112,10,66歲,1255,1465,2720
淡水區,112,10,67歲,1253,1545,2798
淡水區,112,10,68歲,1190,1497,2687
淡水區,112,10,69歲,1077,1386,2463
淡水區,112,10,70歲,1102,1267,2369
淡水區,112,10,71歲,1102,1332,2434
淡水區,112,10,72歲,987,1217,2204
淡水區,112,10,73歲,818,1015,1833
淡水區,112,10,74歲,754,923,1677
淡水區,112,10,75歲,622,771,1393
淡水區,112,10,76歲,500,668,1168
淡水區,112,10,77歲,362,446,808
淡水區,112,10,78歲,341,399,740
淡水區,112,10,79歲,393,487,880
淡水區,112,10,80歲,340,477,817
淡水區,112,10,81歲,310,457,767
淡水區,112,10,82歲,289,389,678
淡水區,112,10,83歲,264,349,613
淡水區,112,10,84歲,202,351,553
淡水區,112,10,85歲,193,275,468
淡水區,112,10,86歲,150,219,369
淡水區,112,10,87歲,122,190,312
淡水區,112,10,88歲,116,199,315
淡水區,112,10,89歲,104,144,248
淡水區,112,10,90歲,92,117,209
淡水區,112,10,91歲,74,111,185
淡水區,112,10,92歲,75,98,173
淡水區,112,10,93歲,63,98,161
淡水區,112,10,94歲,52,73,125
淡水區,112,10,95歲,47,48,95
淡水區,112,10,96歲,26,56,82
淡水區,112,10,97歲,10,36,46
淡水區,112,10,98歲,24,13,37
淡水區,112,10,99歲,11,14,25
淡水區,112,10,100歲以上,21,32,53
總計,,,,92237,101442,193679


              
