行政區,年,月,年齡,男,女,合計
深坑區,112,2,0歲,45,64,109
深坑區,112,2,1歲,69,57,126
深坑區,112,2,2歲,64,58,122
深坑區,112,2,3歲,82,49,131
深坑區,112,2,4歲,65,59,124
深坑區,112,2,5歲,78,74,152
深坑區,112,2,6歲,94,71,165
深坑區,112,2,7歲,70,80,150
深坑區,112,2,8歲,83,64,147
深坑區,112,2,9歲,69,68,137
深坑區,112,2,10歲,86,73,159
深坑區,112,2,11歲,69,62,131
深坑區,112,2,12歲,56,60,116
深坑區,112,2,13歲,76,64,140
深坑區,112,2,14歲,76,76,152
深坑區,112,2,15歲,86,90,176
深坑區,112,2,16歲,92,77,169
深坑區,112,2,17歲,121,94,215
深坑區,112,2,18歲,110,96,206
深坑區,112,2,19歲,124,98,222
深坑區,112,2,20歲,133,131,264
深坑區,112,2,21歲,144,125,269
深坑區,112,2,22歲,189,161,350
深坑區,112,2,23歲,161,129,290
深坑區,112,2,24歲,154,145,299
深坑區,112,2,25歲,185,158,343
深坑區,112,2,26歲,199,179,378
深坑區,112,2,27歲,194,170,364
深坑區,112,2,28歲,202,165,367
深坑區,112,2,29歲,199,154,353
深坑區,112,2,30歲,176,170,346
深坑區,112,2,31歲,219,156,375
深坑區,112,2,32歲,195,150,345
深坑區,112,2,33歲,170,144,314
深坑區,112,2,34歲,186,149,335
深坑區,112,2,35歲,137,129,266
深坑區,112,2,36歲,132,111,243
深坑區,112,2,37歲,144,137,281
深坑區,112,2,38歲,174,148,322
深坑區,112,2,39歲,174,137,311
深坑區,112,2,40歲,170,161,331
深坑區,112,2,41歲,183,178,361
深坑區,112,2,42歲,178,188,366
深坑區,112,2,43歲,175,202,377
深坑區,112,2,44歲,170,191,361
深坑區,112,2,45歲,147,186,333
深坑區,112,2,46歲,193,227,420
深坑區,112,2,47歲,165,162,327
深坑區,112,2,48歲,155,186,341
深坑區,112,2,49歲,161,176,337
深坑區,112,2,50歲,173,179,352
深坑區,112,2,51歲,215,214,429
深坑區,112,2,52歲,180,208,388
深坑區,112,2,53歲,209,204,413
深坑區,112,2,54歲,199,264,463
深坑區,112,2,55歲,206,239,445
深坑區,112,2,56歲,209,241,450
深坑區,112,2,57歲,218,247,465
深坑區,112,2,58歲,231,237,468
深坑區,112,2,59歲,254,244,498
深坑區,112,2,60歲,228,228,456
深坑區,112,2,61歲,215,204,419
深坑區,112,2,62歲,204,220,424
深坑區,112,2,63歲,187,214,401
深坑區,112,2,64歲,194,220,414
深坑區,112,2,65歲,146,192,338
深坑區,112,2,66歲,169,165,334
深坑區,112,2,67歲,171,172,343
深坑區,112,2,68歲,135,172,307
深坑區,112,2,69歲,148,154,302
深坑區,112,2,70歲,126,146,272
深坑區,112,2,71歲,119,142,261
深坑區,112,2,72歲,105,141,246
深坑區,112,2,73歲,112,116,228
深坑區,112,2,74歲,69,80,149
深坑區,112,2,75歲,66,83,149
深坑區,112,2,76歲,49,57,106
深坑區,112,2,77歲,32,58,90
深坑區,112,2,78歲,50,46,96
深坑區,112,2,79歲,47,41,88
深坑區,112,2,80歲,48,55,103
深坑區,112,2,81歲,43,63,106
深坑區,112,2,82歲,37,65,102
深坑區,112,2,83歲,34,53,87
深坑區,112,2,84歲,29,47,76
深坑區,112,2,85歲,18,39,57
深坑區,112,2,86歲,23,34,57
深坑區,112,2,87歲,14,26,40
深坑區,112,2,88歲,12,17,29
深坑區,112,2,89歲,9,13,22
深坑區,112,2,90歲,6,18,24
深坑區,112,2,91歲,9,9,18
深坑區,112,2,92歲,13,8,21
深坑區,112,2,93歲,9,9,18
深坑區,112,2,94歲,8,11,19
深坑區,112,2,95歲,1,3,4
深坑區,112,2,96歲,8,1,9
深坑區,112,2,97歲,5,5,10
深坑區,112,2,98歲,0,6,6
深坑區,112,2,99歲,1,3,4
深坑區,112,2,100歲以上,2,5,7
總計,,,,11774,11857,23631


              
