行政區,年,月,年齡,男,女,合計
烏來區,112,8,0歲,30,27,57
烏來區,112,8,1歲,34,27,61
烏來區,112,8,2歲,28,30,58
烏來區,112,8,3歲,35,34,69
烏來區,112,8,4歲,29,34,63
烏來區,112,8,5歲,29,22,51
烏來區,112,8,6歲,27,19,46
烏來區,112,8,7歲,34,29,63
烏來區,112,8,8歲,32,39,71
烏來區,112,8,9歲,45,26,71
烏來區,112,8,10歲,18,31,49
烏來區,112,8,11歲,24,28,52
烏來區,112,8,12歲,15,22,37
烏來區,112,8,13歲,22,26,48
烏來區,112,8,14歲,24,32,56
烏來區,112,8,15歲,32,25,57
烏來區,112,8,16歲,30,25,55
烏來區,112,8,17歲,37,26,63
烏來區,112,8,18歲,39,36,75
烏來區,112,8,19歲,28,32,60
烏來區,112,8,20歲,38,21,59
烏來區,112,8,21歲,39,29,68
烏來區,112,8,22歲,38,40,78
烏來區,112,8,23歲,45,32,77
烏來區,112,8,24歲,40,39,79
烏來區,112,8,25歲,47,49,96
烏來區,112,8,26歲,54,44,98
烏來區,112,8,27歲,36,54,90
烏來區,112,8,28歲,40,51,91
烏來區,112,8,29歲,48,45,93
烏來區,112,8,30歲,46,63,109
烏來區,112,8,31歲,56,50,106
烏來區,112,8,32歲,51,34,85
烏來區,112,8,33歲,48,47,95
烏來區,112,8,34歲,49,48,97
烏來區,112,8,35歲,35,44,79
烏來區,112,8,36歲,42,46,88
烏來區,112,8,37歲,37,45,82
烏來區,112,8,38歲,48,54,102
烏來區,112,8,39歲,40,43,83
烏來區,112,8,40歲,61,47,108
烏來區,112,8,41歲,44,48,92
烏來區,112,8,42歲,55,57,112
烏來區,112,8,43歲,53,46,99
烏來區,112,8,44歲,40,62,102
烏來區,112,8,45歲,45,51,96
烏來區,112,8,46歲,38,50,88
烏來區,112,8,47歲,50,46,96
烏來區,112,8,48歲,33,51,84
烏來區,112,8,49歲,49,42,91
烏來區,112,8,50歲,39,56,95
烏來區,112,8,51歲,32,49,81
烏來區,112,8,52歲,36,42,78
烏來區,112,8,53歲,45,36,81
烏來區,112,8,54歲,34,39,73
烏來區,112,8,55歲,35,42,77
烏來區,112,8,56歲,50,46,96
烏來區,112,8,57歲,41,50,91
烏來區,112,8,58歲,50,40,90
烏來區,112,8,59歲,37,45,82
烏來區,112,8,60歲,57,56,113
烏來區,112,8,61歲,49,45,94
烏來區,112,8,62歲,43,45,88
烏來區,112,8,63歲,53,46,99
烏來區,112,8,64歲,39,56,95
烏來區,112,8,65歲,36,43,79
烏來區,112,8,66歲,45,46,91
烏來區,112,8,67歲,37,48,85
烏來區,112,8,68歲,40,53,93
烏來區,112,8,69歲,43,31,74
烏來區,112,8,70歲,39,42,81
烏來區,112,8,71歲,37,41,78
烏來區,112,8,72歲,33,40,73
烏來區,112,8,73歲,25,31,56
烏來區,112,8,74歲,23,27,50
烏來區,112,8,75歲,18,21,39
烏來區,112,8,76歲,13,16,29
烏來區,112,8,77歲,7,9,16
烏來區,112,8,78歲,11,7,18
烏來區,112,8,79歲,12,15,27
烏來區,112,8,80歲,9,16,25
烏來區,112,8,81歲,7,11,18
烏來區,112,8,82歲,12,10,22
烏來區,112,8,83歲,8,10,18
烏來區,112,8,84歲,9,12,21
烏來區,112,8,85歲,4,6,10
烏來區,112,8,86歲,5,9,14
烏來區,112,8,87歲,5,10,15
烏來區,112,8,88歲,5,9,14
烏來區,112,8,89歲,3,9,12
烏來區,112,8,90歲,1,3,4
烏來區,112,8,91歲,3,2,5
烏來區,112,8,92歲,1,1,2
烏來區,112,8,93歲,2,2,4
烏來區,112,8,94歲,0,2,2
烏來區,112,8,95歲,0,4,4
烏來區,112,8,96歲,0,2,2
烏來區,112,8,97歲,1,0,1
烏來區,112,8,98歲,0,0,0
烏來區,112,8,99歲,0,0,0
烏來區,112,8,100歲以上,0,0,0
總計,,,,3071,3229,6300


              
