¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
·çªÚ°Ï,112,1,0·³,89,88,177
·çªÚ°Ï,112,1,1·³,94,100,194
·çªÚ°Ï,112,1,2·³,99,109,208
·çªÚ°Ï,112,1,3·³,99,90,189
·çªÚ°Ï,112,1,4·³,101,107,208
·çªÚ°Ï,112,1,5·³,117,96,213
·çªÚ°Ï,112,1,6·³,132,96,228
·çªÚ°Ï,112,1,7·³,114,125,239
·çªÚ°Ï,112,1,8·³,116,128,244
·çªÚ°Ï,112,1,9·³,88,113,201
·çªÚ°Ï,112,1,10·³,114,131,245
·çªÚ°Ï,112,1,11·³,102,100,202
·çªÚ°Ï,112,1,12·³,84,93,177
·çªÚ°Ï,112,1,13·³,106,78,184
·çªÚ°Ï,112,1,14·³,117,95,212
·çªÚ°Ï,112,1,15·³,124,132,256
·çªÚ°Ï,112,1,16·³,135,127,262
·çªÚ°Ï,112,1,17·³,142,130,272
·çªÚ°Ï,112,1,18·³,155,161,316
·çªÚ°Ï,112,1,19·³,186,166,352
·çªÚ°Ï,112,1,20·³,202,200,402
·çªÚ°Ï,112,1,21·³,210,195,405
·çªÚ°Ï,112,1,22·³,264,228,492
·çªÚ°Ï,112,1,23·³,223,202,425
·çªÚ°Ï,112,1,24·³,193,199,392
·çªÚ°Ï,112,1,25·³,219,231,450
·çªÚ°Ï,112,1,26·³,249,234,483
·çªÚ°Ï,112,1,27·³,285,227,512
·çªÚ°Ï,112,1,28·³,270,248,518
·çªÚ°Ï,112,1,29·³,276,249,525
·çªÚ°Ï,112,1,30·³,314,242,556
·çªÚ°Ï,112,1,31·³,298,226,524
·çªÚ°Ï,112,1,32·³,293,239,532
·çªÚ°Ï,112,1,33·³,268,212,480
·çªÚ°Ï,112,1,34·³,274,245,519
·çªÚ°Ï,112,1,35·³,222,222,444
·çªÚ°Ï,112,1,36·³,218,202,420
·çªÚ°Ï,112,1,37·³,271,223,494
·çªÚ°Ï,112,1,38·³,220,249,469
·çªÚ°Ï,112,1,39·³,284,256,540
·çªÚ°Ï,112,1,40·³,267,296,563
·çªÚ°Ï,112,1,41·³,256,283,539
·çªÚ°Ï,112,1,42·³,281,260,541
·çªÚ°Ï,112,1,43·³,285,274,559
·çªÚ°Ï,112,1,44·³,246,287,533
·çªÚ°Ï,112,1,45·³,275,240,515
·çªÚ°Ï,112,1,46·³,286,277,563
·çªÚ°Ï,112,1,47·³,291,276,567
·çªÚ°Ï,112,1,48·³,257,291,548
·çªÚ°Ï,112,1,49·³,266,239,505
·çªÚ°Ï,112,1,50·³,324,292,616
·çªÚ°Ï,112,1,51·³,297,311,608
·çªÚ°Ï,112,1,52·³,349,314,663
·çªÚ°Ï,112,1,53·³,400,317,717
·çªÚ°Ï,112,1,54·³,365,317,682
·çªÚ°Ï,112,1,55·³,381,318,699
·çªÚ°Ï,112,1,56·³,384,349,733
·çªÚ°Ï,112,1,57·³,388,349,737
·çªÚ°Ï,112,1,58·³,412,316,728
·çªÚ°Ï,112,1,59·³,411,334,745
·çªÚ°Ï,112,1,60·³,362,328,690
·çªÚ°Ï,112,1,61·³,361,311,672
·çªÚ°Ï,112,1,62·³,346,314,660
·çªÚ°Ï,112,1,63·³,361,322,683
·çªÚ°Ï,112,1,64·³,313,300,613
·çªÚ°Ï,112,1,65·³,303,258,561
·çªÚ°Ï,112,1,66·³,327,283,610
·çªÚ°Ï,112,1,67·³,257,279,536
·çªÚ°Ï,112,1,68·³,242,248,490
·çªÚ°Ï,112,1,69·³,221,228,449
·çªÚ°Ï,112,1,70·³,221,223,444
·çªÚ°Ï,112,1,71·³,215,263,478
·çªÚ°Ï,112,1,72·³,157,205,362
·çªÚ°Ï,112,1,73·³,170,180,350
·çªÚ°Ï,112,1,74·³,122,160,282
·çªÚ°Ï,112,1,75·³,108,130,238
·çªÚ°Ï,112,1,76·³,66,93,159
·çªÚ°Ï,112,1,77·³,50,90,140
·çªÚ°Ï,112,1,78·³,95,135,230
·çªÚ°Ï,112,1,79·³,79,147,226
·çªÚ°Ï,112,1,80·³,88,144,232
·çªÚ°Ï,112,1,81·³,97,134,231
·çªÚ°Ï,112,1,82·³,110,128,238
·çªÚ°Ï,112,1,83·³,81,150,231
·çªÚ°Ï,112,1,84·³,79,146,225
·çªÚ°Ï,112,1,85·³,75,128,203
·çªÚ°Ï,112,1,86·³,57,108,165
·çªÚ°Ï,112,1,87·³,45,90,135
·çªÚ°Ï,112,1,88·³,33,77,110
·çªÚ°Ï,112,1,89·³,26,76,102
·çªÚ°Ï,112,1,90·³,25,59,84
·çªÚ°Ï,112,1,91·³,18,65,83
·çªÚ°Ï,112,1,92·³,18,37,55
·çªÚ°Ï,112,1,93·³,17,39,56
·çªÚ°Ï,112,1,94·³,12,26,38
·çªÚ°Ï,112,1,95·³,7,23,30
·çªÚ°Ï,112,1,96·³,7,9,16
·çªÚ°Ï,112,1,97·³,1,15,16
·çªÚ°Ï,112,1,98·³,3,9,12
·çªÚ°Ï,112,1,99·³,2,8,10
·çªÚ°Ï,112,1,100·³¥H¤W,5,6,11
Á`­p,,,,18970,18708,37678


              
