¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
¥ÛÞä°Ï,112,4,0·³,10,13,23
¥ÛÞä°Ï,112,4,1·³,12,22,34
¥ÛÞä°Ï,112,4,2·³,13,15,28
¥ÛÞä°Ï,112,4,3·³,22,12,34
¥ÛÞä°Ï,112,4,4·³,15,16,31
¥ÛÞä°Ï,112,4,5·³,11,10,21
¥ÛÞä°Ï,112,4,6·³,8,8,16
¥ÛÞä°Ï,112,4,7·³,10,11,21
¥ÛÞä°Ï,112,4,8·³,21,15,36
¥ÛÞä°Ï,112,4,9·³,13,13,26
¥ÛÞä°Ï,112,4,10·³,20,20,40
¥ÛÞä°Ï,112,4,11·³,13,21,34
¥ÛÞä°Ï,112,4,12·³,12,11,23
¥ÛÞä°Ï,112,4,13·³,17,13,30
¥ÛÞä°Ï,112,4,14·³,20,10,30
¥ÛÞä°Ï,112,4,15·³,17,16,33
¥ÛÞä°Ï,112,4,16·³,37,21,58
¥ÛÞä°Ï,112,4,17·³,38,31,69
¥ÛÞä°Ï,112,4,18·³,30,51,81
¥ÛÞä°Ï,112,4,19·³,38,39,77
¥ÛÞä°Ï,112,4,20·³,46,36,82
¥ÛÞä°Ï,112,4,21·³,35,40,75
¥ÛÞä°Ï,112,4,22·³,42,41,83
¥ÛÞä°Ï,112,4,23·³,60,42,102
¥ÛÞä°Ï,112,4,24·³,49,41,90
¥ÛÞä°Ï,112,4,25·³,46,59,105
¥ÛÞä°Ï,112,4,26·³,55,36,91
¥ÛÞä°Ï,112,4,27·³,42,54,96
¥ÛÞä°Ï,112,4,28·³,39,32,71
¥ÛÞä°Ï,112,4,29·³,52,42,94
¥ÛÞä°Ï,112,4,30·³,36,33,69
¥ÛÞä°Ï,112,4,31·³,40,37,77
¥ÛÞä°Ï,112,4,32·³,40,31,71
¥ÛÞä°Ï,112,4,33·³,38,39,77
¥ÛÞä°Ï,112,4,34·³,38,29,67
¥ÛÞä°Ï,112,4,35·³,51,33,84
¥ÛÞä°Ï,112,4,36·³,28,31,59
¥ÛÞä°Ï,112,4,37·³,43,24,67
¥ÛÞä°Ï,112,4,38·³,46,48,94
¥ÛÞä°Ï,112,4,39·³,47,46,93
¥ÛÞä°Ï,112,4,40·³,44,42,86
¥ÛÞä°Ï,112,4,41·³,36,43,79
¥ÛÞä°Ï,112,4,42·³,45,45,90
¥ÛÞä°Ï,112,4,43·³,39,59,98
¥ÛÞä°Ï,112,4,44·³,47,39,86
¥ÛÞä°Ï,112,4,45·³,48,43,91
¥ÛÞä°Ï,112,4,46·³,51,50,101
¥ÛÞä°Ï,112,4,47·³,53,38,91
¥ÛÞä°Ï,112,4,48·³,59,43,102
¥ÛÞä°Ï,112,4,49·³,56,42,98
¥ÛÞä°Ï,112,4,50·³,63,47,110
¥ÛÞä°Ï,112,4,51·³,70,45,115
¥ÛÞä°Ï,112,4,52·³,84,60,144
¥ÛÞä°Ï,112,4,53·³,79,45,124
¥ÛÞä°Ï,112,4,54·³,83,62,145
¥ÛÞä°Ï,112,4,55·³,89,41,130
¥ÛÞä°Ï,112,4,56·³,82,41,123
¥ÛÞä°Ï,112,4,57·³,69,43,112
¥ÛÞä°Ï,112,4,58·³,84,51,135
¥ÛÞä°Ï,112,4,59·³,94,60,154
¥ÛÞä°Ï,112,4,60·³,85,56,141
¥ÛÞä°Ï,112,4,61·³,94,68,162
¥ÛÞä°Ï,112,4,62·³,87,51,138
¥ÛÞä°Ï,112,4,63·³,92,65,157
¥ÛÞä°Ï,112,4,64·³,85,69,154
¥ÛÞä°Ï,112,4,65·³,77,51,128
¥ÛÞä°Ï,112,4,66·³,79,58,137
¥ÛÞä°Ï,112,4,67·³,80,44,124
¥ÛÞä°Ï,112,4,68·³,63,54,117
¥ÛÞä°Ï,112,4,69·³,74,40,114
¥ÛÞä°Ï,112,4,70·³,67,48,115
¥ÛÞä°Ï,112,4,71·³,54,42,96
¥ÛÞä°Ï,112,4,72·³,47,44,91
¥ÛÞä°Ï,112,4,73·³,46,44,90
¥ÛÞä°Ï,112,4,74·³,43,44,87
¥ÛÞä°Ï,112,4,75·³,25,25,50
¥ÛÞä°Ï,112,4,76·³,31,15,46
¥ÛÞä°Ï,112,4,77·³,23,20,43
¥ÛÞä°Ï,112,4,78·³,25,28,53
¥ÛÞä°Ï,112,4,79·³,24,27,51
¥ÛÞä°Ï,112,4,80·³,33,36,69
¥ÛÞä°Ï,112,4,81·³,34,33,67
¥ÛÞä°Ï,112,4,82·³,16,17,33
¥ÛÞä°Ï,112,4,83·³,26,35,61
¥ÛÞä°Ï,112,4,84·³,23,33,56
¥ÛÞä°Ï,112,4,85·³,12,26,38
¥ÛÞä°Ï,112,4,86·³,12,21,33
¥ÛÞä°Ï,112,4,87·³,6,24,30
¥ÛÞä°Ï,112,4,88·³,8,19,27
¥ÛÞä°Ï,112,4,89·³,9,9,18
¥ÛÞä°Ï,112,4,90·³,6,13,19
¥ÛÞä°Ï,112,4,91·³,9,8,17
¥ÛÞä°Ï,112,4,92·³,3,11,14
¥ÛÞä°Ï,112,4,93·³,2,7,9
¥ÛÞä°Ï,112,4,94·³,2,6,8
¥ÛÞä°Ï,112,4,95·³,2,3,5
¥ÛÞä°Ï,112,4,96·³,2,6,8
¥ÛÞä°Ï,112,4,97·³,0,3,3
¥ÛÞä°Ï,112,4,98·³,0,2,2
¥ÛÞä°Ï,112,4,99·³,1,3,4
¥ÛÞä°Ï,112,4,100·³¥H¤W,4,2,6
Á`­p,,,,3936,3291,7227


              
