行政區,年,月,年齡,男,女,合計
石門區,112,6,0歲,25,20,45
石門區,112,6,1歲,28,22,50
石門區,112,6,2歲,23,19,42
石門區,112,6,3歲,22,39,61
石門區,112,6,4歲,18,18,36
石門區,112,6,5歲,22,21,43
石門區,112,6,6歲,17,15,32
石門區,112,6,7歲,24,17,41
石門區,112,6,8歲,26,26,52
石門區,112,6,9歲,26,25,51
石門區,112,6,10歲,40,25,65
石門區,112,6,11歲,21,36,57
石門區,112,6,12歲,26,25,51
石門區,112,6,13歲,23,23,46
石門區,112,6,14歲,40,33,73
石門區,112,6,15歲,46,36,82
石門區,112,6,16歲,51,24,75
石門區,112,6,17歲,50,41,91
石門區,112,6,18歲,38,45,83
石門區,112,6,19歲,53,53,106
石門區,112,6,20歲,63,80,143
石門區,112,6,21歲,81,63,144
石門區,112,6,22歲,89,80,169
石門區,112,6,23歲,67,66,133
石門區,112,6,24歲,66,46,112
石門區,112,6,25歲,86,69,155
石門區,112,6,26歲,101,77,178
石門區,112,6,27歲,94,76,170
石門區,112,6,28歲,74,87,161
石門區,112,6,29歲,83,80,163
石門區,112,6,30歲,74,62,136
石門區,112,6,31歲,82,76,158
石門區,112,6,32歲,78,67,145
石門區,112,6,33歲,73,59,132
石門區,112,6,34歲,77,68,145
石門區,112,6,35歲,68,61,129
石門區,112,6,36歲,63,54,117
石門區,112,6,37歲,59,64,123
石門區,112,6,38歲,77,59,136
石門區,112,6,39歲,73,83,156
石門區,112,6,40歲,92,92,184
石門區,112,6,41歲,94,89,183
石門區,112,6,42歲,92,114,206
石門區,112,6,43歲,102,85,187
石門區,112,6,44歲,94,98,192
石門區,112,6,45歲,90,98,188
石門區,112,6,46歲,84,102,186
石門區,112,6,47歲,93,94,187
石門區,112,6,48歲,67,91,158
石門區,112,6,49歲,90,85,175
石門區,112,6,50歲,108,92,200
石門區,112,6,51歲,84,88,172
石門區,112,6,52歲,97,71,168
石門區,112,6,53歲,98,66,164
石門區,112,6,54歲,94,80,174
石門區,112,6,55歲,86,75,161
石門區,112,6,56歲,104,87,191
石門區,112,6,57歲,97,85,182
石門區,112,6,58歲,101,74,175
石門區,112,6,59歲,103,84,187
石門區,112,6,60歲,96,83,179
石門區,112,6,61歲,111,86,197
石門區,112,6,62歲,107,91,198
石門區,112,6,63歲,98,64,162
石門區,112,6,64歲,86,82,168
石門區,112,6,65歲,76,66,142
石門區,112,6,66歲,85,80,165
石門區,112,6,67歲,91,65,156
石門區,112,6,68歲,68,66,134
石門區,112,6,69歲,72,73,145
石門區,112,6,70歲,64,56,120
石門區,112,6,71歲,72,66,138
石門區,112,6,72歲,76,52,128
石門區,112,6,73歲,56,59,115
石門區,112,6,74歲,58,51,109
石門區,112,6,75歲,37,35,72
石門區,112,6,76歲,38,31,69
石門區,112,6,77歲,23,23,46
石門區,112,6,78歲,27,34,61
石門區,112,6,79歲,27,26,53
石門區,112,6,80歲,37,36,73
石門區,112,6,81歲,30,32,62
石門區,112,6,82歲,27,26,53
石門區,112,6,83歲,31,27,58
石門區,112,6,84歲,26,22,48
石門區,112,6,85歲,20,28,48
石門區,112,6,86歲,18,16,34
石門區,112,6,87歲,15,22,37
石門區,112,6,88歲,12,14,26
石門區,112,6,89歲,12,15,27
石門區,112,6,90歲,11,13,24
石門區,112,6,91歲,10,15,25
石門區,112,6,92歲,2,10,12
石門區,112,6,93歲,2,8,10
石門區,112,6,94歲,5,10,15
石門區,112,6,95歲,2,6,8
石門區,112,6,96歲,3,1,4
石門區,112,6,97歲,1,4,5
石門區,112,6,98歲,1,2,3
石門區,112,6,99歲,1,0,1
石門區,112,6,100歲以上,0,5,5
總計,,,,5651,5191,10842


              
