行政區,年,月,年齡,男,女,合計
萬里區,112,10,0歲,48,45,93
萬里區,112,10,1歲,55,55,110
萬里區,112,10,2歲,56,57,113
萬里區,112,10,3歲,65,54,119
萬里區,112,10,4歲,64,46,110
萬里區,112,10,5歲,59,57,116
萬里區,112,10,6歲,40,43,83
萬里區,112,10,7歲,54,52,106
萬里區,112,10,8歲,60,57,117
萬里區,112,10,9歲,63,52,115
萬里區,112,10,10歲,62,47,109
萬里區,112,10,11歲,64,57,121
萬里區,112,10,12歲,49,51,100
萬里區,112,10,13歲,54,41,95
萬里區,112,10,14歲,69,52,121
萬里區,112,10,15歲,67,71,138
萬里區,112,10,16歲,76,77,153
萬里區,112,10,17歲,93,73,166
萬里區,112,10,18歲,80,88,168
萬里區,112,10,19歲,98,111,209
萬里區,112,10,20歲,98,96,194
萬里區,112,10,21歲,116,107,223
萬里區,112,10,22歲,129,103,232
萬里區,112,10,23歲,130,134,264
萬里區,112,10,24歲,111,101,212
萬里區,112,10,25歲,138,114,252
萬里區,112,10,26歲,143,122,265
萬里區,112,10,27歲,123,152,275
萬里區,112,10,28歲,140,114,254
萬里區,112,10,29歲,115,136,251
萬里區,112,10,30歲,138,123,261
萬里區,112,10,31歲,143,136,279
萬里區,112,10,32歲,128,112,240
萬里區,112,10,33歲,134,123,257
萬里區,112,10,34歲,153,131,284
萬里區,112,10,35歲,120,119,239
萬里區,112,10,36歲,114,109,223
萬里區,112,10,37歲,115,115,230
萬里區,112,10,38歲,114,139,253
萬里區,112,10,39歲,108,142,250
萬里區,112,10,40歲,147,146,293
萬里區,112,10,41歲,149,151,300
萬里區,112,10,42歲,156,190,346
萬里區,112,10,43歲,176,193,369
萬里區,112,10,44歲,164,181,345
萬里區,112,10,45歲,150,190,340
萬里區,112,10,46歲,143,148,291
萬里區,112,10,47歲,173,196,369
萬里區,112,10,48歲,161,156,317
萬里區,112,10,49歲,138,170,308
萬里區,112,10,50歲,175,183,358
萬里區,112,10,51歲,164,180,344
萬里區,112,10,52歲,200,167,367
萬里區,112,10,53歲,170,190,360
萬里區,112,10,54歲,221,185,406
萬里區,112,10,55歲,188,186,374
萬里區,112,10,56歲,191,171,362
萬里區,112,10,57歲,182,185,367
萬里區,112,10,58歲,184,181,365
萬里區,112,10,59歲,185,205,390
萬里區,112,10,60歲,227,183,410
萬里區,112,10,61歲,200,189,389
萬里區,112,10,62歲,193,184,377
萬里區,112,10,63歲,185,200,385
萬里區,112,10,64歲,148,161,309
萬里區,112,10,65歲,185,165,350
萬里區,112,10,66歲,176,177,353
萬里區,112,10,67歲,192,158,350
萬里區,112,10,68歲,166,146,312
萬里區,112,10,69歲,146,162,308
萬里區,112,10,70歲,158,138,296
萬里區,112,10,71歲,135,163,298
萬里區,112,10,72歲,123,128,251
萬里區,112,10,73歲,110,112,222
萬里區,112,10,74歲,102,110,212
萬里區,112,10,75歲,76,71,147
萬里區,112,10,76歲,79,78,157
萬里區,112,10,77歲,53,49,102
萬里區,112,10,78歲,49,60,109
萬里區,112,10,79歲,56,72,128
萬里區,112,10,80歲,40,74,114
萬里區,112,10,81歲,46,57,103
萬里區,112,10,82歲,65,78,143
萬里區,112,10,83歲,49,70,119
萬里區,112,10,84歲,42,60,102
萬里區,112,10,85歲,35,47,82
萬里區,112,10,86歲,33,41,74
萬里區,112,10,87歲,31,24,55
萬里區,112,10,88歲,29,33,62
萬里區,112,10,89歲,16,28,44
萬里區,112,10,90歲,13,22,35
萬里區,112,10,91歲,9,24,33
萬里區,112,10,92歲,8,20,28
萬里區,112,10,93歲,11,15,26
萬里區,112,10,94歲,6,14,20
萬里區,112,10,95歲,5,11,16
萬里區,112,10,96歲,3,8,11
萬里區,112,10,97歲,2,2,4
萬里區,112,10,98歲,4,2,6
萬里區,112,10,99歲,0,2,2
萬里區,112,10,100歲以上,2,1,3
總計,,,,10411,10507,20918


              
