¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
Äª¬w°Ï,112,4,0·³,589,550,1139
Äª¬w°Ï,112,4,1·³,692,618,1310
Äª¬w°Ï,112,4,2·³,721,678,1399
Äª¬w°Ï,112,4,3·³,759,733,1492
Äª¬w°Ï,112,4,4·³,752,780,1532
Äª¬w°Ï,112,4,5·³,806,848,1654
Äª¬w°Ï,112,4,6·³,1010,874,1884
Äª¬w°Ï,112,4,7·³,1032,890,1922
Äª¬w°Ï,112,4,8·³,1001,924,1925
Äª¬w°Ï,112,4,9·³,863,783,1646
Äª¬w°Ï,112,4,10·³,1102,890,1992
Äª¬w°Ï,112,4,11·³,885,847,1732
Äª¬w°Ï,112,4,12·³,698,649,1347
Äª¬w°Ï,112,4,13·³,868,730,1598
Äª¬w°Ï,112,4,14·³,904,800,1704
Äª¬w°Ï,112,4,15·³,945,858,1803
Äª¬w°Ï,112,4,16·³,994,918,1912
Äª¬w°Ï,112,4,17·³,928,863,1791
Äª¬w°Ï,112,4,18·³,990,951,1941
Äª¬w°Ï,112,4,19·³,1106,973,2079
Äª¬w°Ï,112,4,20·³,1163,1019,2182
Äª¬w°Ï,112,4,21·³,1220,1073,2293
Äª¬w°Ï,112,4,22·³,1446,1361,2807
Äª¬w°Ï,112,4,23·³,1428,1287,2715
Äª¬w°Ï,112,4,24·³,1322,1225,2547
Äª¬w°Ï,112,4,25·³,1521,1339,2860
Äª¬w°Ï,112,4,26·³,1611,1445,3056
Äª¬w°Ï,112,4,27·³,1597,1496,3093
Äª¬w°Ï,112,4,28·³,1501,1425,2926
Äª¬w°Ï,112,4,29·³,1609,1513,3122
Äª¬w°Ï,112,4,30·³,1608,1472,3080
Äª¬w°Ï,112,4,31·³,1587,1467,3054
Äª¬w°Ï,112,4,32·³,1677,1493,3170
Äª¬w°Ï,112,4,33·³,1495,1411,2906
Äª¬w°Ï,112,4,34·³,1622,1487,3109
Äª¬w°Ï,112,4,35·³,1441,1422,2863
Äª¬w°Ï,112,4,36·³,1277,1306,2583
Äª¬w°Ï,112,4,37·³,1467,1507,2974
Äª¬w°Ï,112,4,38·³,1546,1489,3035
Äª¬w°Ï,112,4,39·³,1555,1569,3124
Äª¬w°Ï,112,4,40·³,1732,1734,3466
Äª¬w°Ï,112,4,41·³,1732,1776,3508
Äª¬w°Ï,112,4,42·³,1775,1820,3595
Äª¬w°Ï,112,4,43·³,1724,1912,3636
Äª¬w°Ï,112,4,44·³,1778,1869,3647
Äª¬w°Ï,112,4,45·³,1580,1732,3312
Äª¬w°Ï,112,4,46·³,1789,1806,3595
Äª¬w°Ï,112,4,47·³,1489,1681,3170
Äª¬w°Ï,112,4,48·³,1429,1630,3059
Äª¬w°Ï,112,4,49·³,1473,1641,3114
Äª¬w°Ï,112,4,50·³,1436,1489,2925
Äª¬w°Ï,112,4,51·³,1471,1591,3062
Äª¬w°Ï,112,4,52·³,1489,1705,3194
Äª¬w°Ï,112,4,53·³,1494,1646,3140
Äª¬w°Ï,112,4,54·³,1399,1827,3226
Äª¬w°Ï,112,4,55·³,1412,1737,3149
Äª¬w°Ï,112,4,56·³,1412,1758,3170
Äª¬w°Ï,112,4,57·³,1422,1699,3121
Äª¬w°Ï,112,4,58·³,1444,1804,3248
Äª¬w°Ï,112,4,59·³,1609,1791,3400
Äª¬w°Ï,112,4,60·³,1483,1816,3299
Äª¬w°Ï,112,4,61·³,1436,1735,3171
Äª¬w°Ï,112,4,62·³,1409,1598,3007
Äª¬w°Ï,112,4,63·³,1336,1597,2933
Äª¬w°Ï,112,4,64·³,1387,1679,3066
Äª¬w°Ï,112,4,65·³,1161,1382,2543
Äª¬w°Ï,112,4,66·³,1224,1431,2655
Äª¬w°Ï,112,4,67·³,1119,1290,2409
Äª¬w°Ï,112,4,68·³,1075,1278,2353
Äª¬w°Ï,112,4,69·³,920,1115,2035
Äª¬w°Ï,112,4,70·³,928,1036,1964
Äª¬w°Ï,112,4,71·³,895,1058,1953
Äª¬w°Ï,112,4,72·³,758,829,1587
Äª¬w°Ï,112,4,73·³,621,798,1419
Äª¬w°Ï,112,4,74·³,510,694,1204
Äª¬w°Ï,112,4,75·³,400,491,891
Äª¬w°Ï,112,4,76·³,332,393,725
Äª¬w°Ï,112,4,77·³,238,324,562
Äª¬w°Ï,112,4,78·³,299,383,682
Äª¬w°Ï,112,4,79·³,281,370,651
Äª¬w°Ï,112,4,80·³,247,352,599
Äª¬w°Ï,112,4,81·³,220,300,520
Äª¬w°Ï,112,4,82·³,241,304,545
Äª¬w°Ï,112,4,83·³,190,256,446
Äª¬w°Ï,112,4,84·³,157,214,371
Äª¬w°Ï,112,4,85·³,105,201,306
Äª¬w°Ï,112,4,86·³,102,160,262
Äª¬w°Ï,112,4,87·³,73,145,218
Äª¬w°Ï,112,4,88·³,60,127,187
Äª¬w°Ï,112,4,89·³,52,98,150
Äª¬w°Ï,112,4,90·³,37,65,102
Äª¬w°Ï,112,4,91·³,32,59,91
Äª¬w°Ï,112,4,92·³,32,71,103
Äª¬w°Ï,112,4,93·³,27,33,60
Äª¬w°Ï,112,4,94·³,12,33,45
Äª¬w°Ï,112,4,95·³,12,21,33
Äª¬w°Ï,112,4,96·³,8,20,28
Äª¬w°Ï,112,4,97·³,4,10,14
Äª¬w°Ï,112,4,98·³,5,7,12
Äª¬w°Ï,112,4,99·³,2,3,5
Äª¬w°Ï,112,4,100·³¥H¤W,6,12,18
Á`­p,,,,97863,102399,200262


              
