¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
°^¼d°Ï,112,1,0·³,20,15,35
°^¼d°Ï,112,1,1·³,21,23,44
°^¼d°Ï,112,1,2·³,19,19,38
°^¼d°Ï,112,1,3·³,20,19,39
°^¼d°Ï,112,1,4·³,21,19,40
°^¼d°Ï,112,1,5·³,20,13,33
°^¼d°Ï,112,1,6·³,15,17,32
°^¼d°Ï,112,1,7·³,19,14,33
°^¼d°Ï,112,1,8·³,17,14,31
°^¼d°Ï,112,1,9·³,13,16,29
°^¼d°Ï,112,1,10·³,22,18,40
°^¼d°Ï,112,1,11·³,19,15,34
°^¼d°Ï,112,1,12·³,19,13,32
°^¼d°Ï,112,1,13·³,12,13,25
°^¼d°Ï,112,1,14·³,28,23,51
°^¼d°Ï,112,1,15·³,31,22,53
°^¼d°Ï,112,1,16·³,32,20,52
°^¼d°Ï,112,1,17·³,31,37,68
°^¼d°Ï,112,1,18·³,45,39,84
°^¼d°Ï,112,1,19·³,39,52,91
°^¼d°Ï,112,1,20·³,47,47,94
°^¼d°Ï,112,1,21·³,49,47,96
°^¼d°Ï,112,1,22·³,64,68,132
°^¼d°Ï,112,1,23·³,58,49,107
°^¼d°Ï,112,1,24·³,71,51,122
°^¼d°Ï,112,1,25·³,70,52,122
°^¼d°Ï,112,1,26·³,63,61,124
°^¼d°Ï,112,1,27·³,71,57,128
°^¼d°Ï,112,1,28·³,75,55,130
°^¼d°Ï,112,1,29·³,61,62,123
°^¼d°Ï,112,1,30·³,64,68,132
°^¼d°Ï,112,1,31·³,65,39,104
°^¼d°Ï,112,1,32·³,54,54,108
°^¼d°Ï,112,1,33·³,52,53,105
°^¼d°Ï,112,1,34·³,72,55,127
°^¼d°Ï,112,1,35·³,56,58,114
°^¼d°Ï,112,1,36·³,57,49,106
°^¼d°Ï,112,1,37·³,70,48,118
°^¼d°Ï,112,1,38·³,63,57,120
°^¼d°Ï,112,1,39·³,72,74,146
°^¼d°Ï,112,1,40·³,74,90,164
°^¼d°Ï,112,1,41·³,62,95,157
°^¼d°Ï,112,1,42·³,82,89,171
°^¼d°Ï,112,1,43·³,93,68,161
°^¼d°Ï,112,1,44·³,93,94,187
°^¼d°Ï,112,1,45·³,79,80,159
°^¼d°Ï,112,1,46·³,90,115,205
°^¼d°Ï,112,1,47·³,104,104,208
°^¼d°Ï,112,1,48·³,111,109,220
°^¼d°Ï,112,1,49·³,110,131,241
°^¼d°Ï,112,1,50·³,116,99,215
°^¼d°Ï,112,1,51·³,107,119,226
°^¼d°Ï,112,1,52·³,130,127,257
°^¼d°Ï,112,1,53·³,140,100,240
°^¼d°Ï,112,1,54·³,125,125,250
°^¼d°Ï,112,1,55·³,118,88,206
°^¼d°Ï,112,1,56·³,148,101,249
°^¼d°Ï,112,1,57·³,129,99,228
°^¼d°Ï,112,1,58·³,139,114,253
°^¼d°Ï,112,1,59·³,139,106,245
°^¼d°Ï,112,1,60·³,111,99,210
°^¼d°Ï,112,1,61·³,109,76,185
°^¼d°Ï,112,1,62·³,124,90,214
°^¼d°Ï,112,1,63·³,107,75,182
°^¼d°Ï,112,1,64·³,89,82,171
°^¼d°Ï,112,1,65·³,93,73,166
°^¼d°Ï,112,1,66·³,79,94,173
°^¼d°Ï,112,1,67·³,103,73,176
°^¼d°Ï,112,1,68·³,79,71,150
°^¼d°Ï,112,1,69·³,74,76,150
°^¼d°Ï,112,1,70·³,77,80,157
°^¼d°Ï,112,1,71·³,64,77,141
°^¼d°Ï,112,1,72·³,65,63,128
°^¼d°Ï,112,1,73·³,53,69,122
°^¼d°Ï,112,1,74·³,48,63,111
°^¼d°Ï,112,1,75·³,30,43,73
°^¼d°Ï,112,1,76·³,22,40,62
°^¼d°Ï,112,1,77·³,27,41,68
°^¼d°Ï,112,1,78·³,34,49,83
°^¼d°Ï,112,1,79·³,44,47,91
°^¼d°Ï,112,1,80·³,36,55,91
°^¼d°Ï,112,1,81·³,43,63,106
°^¼d°Ï,112,1,82·³,44,52,96
°^¼d°Ï,112,1,83·³,41,59,100
°^¼d°Ï,112,1,84·³,25,43,68
°^¼d°Ï,112,1,85·³,26,44,70
°^¼d°Ï,112,1,86·³,27,37,64
°^¼d°Ï,112,1,87·³,28,23,51
°^¼d°Ï,112,1,88·³,26,37,63
°^¼d°Ï,112,1,89·³,20,26,46
°^¼d°Ï,112,1,90·³,21,28,49
°^¼d°Ï,112,1,91·³,12,13,25
°^¼d°Ï,112,1,92·³,11,14,25
°^¼d°Ï,112,1,93·³,13,12,25
°^¼d°Ï,112,1,94·³,4,10,14
°^¼d°Ï,112,1,95·³,2,8,10
°^¼d°Ï,112,1,96·³,2,12,14
°^¼d°Ï,112,1,97·³,5,8,13
°^¼d°Ï,112,1,98·³,1,3,4
°^¼d°Ï,112,1,99·³,0,3,3
°^¼d°Ï,112,1,100·³¥H¤W,1,2,3
Á`­p,,,,5726,5511,11237


              
