行政區,年,月,年齡,男,女,合計
金山區,112,3,0歲,51,58,109
金山區,112,3,1歲,53,42,95
金山區,112,3,2歲,55,44,99
金山區,112,3,3歲,50,37,87
金山區,112,3,4歲,57,54,111
金山區,112,3,5歲,54,59,113
金山區,112,3,6歲,47,62,109
金山區,112,3,7歲,60,42,102
金山區,112,3,8歲,61,55,116
金山區,112,3,9歲,66,49,115
金山區,112,3,10歲,74,55,129
金山區,112,3,11歲,47,58,105
金山區,112,3,12歲,38,49,87
金山區,112,3,13歲,65,49,114
金山區,112,3,14歲,61,71,132
金山區,112,3,15歲,73,70,143
金山區,112,3,16歲,84,82,166
金山區,112,3,17歲,78,69,147
金山區,112,3,18歲,92,81,173
金山區,112,3,19歲,112,108,220
金山區,112,3,20歲,109,106,215
金山區,112,3,21歲,109,125,234
金山區,112,3,22歲,142,126,268
金山區,112,3,23歲,152,97,249
金山區,112,3,24歲,127,145,272
金山區,112,3,25歲,147,151,298
金山區,112,3,26歲,143,153,296
金山區,112,3,27歲,154,144,298
金山區,112,3,28歲,139,164,303
金山區,112,3,29歲,145,157,302
金山區,112,3,30歲,154,159,313
金山區,112,3,31歲,125,134,259
金山區,112,3,32歲,142,139,281
金山區,112,3,33歲,126,127,253
金山區,112,3,34歲,116,140,256
金山區,112,3,35歲,115,114,229
金山區,112,3,36歲,111,109,220
金山區,112,3,37歲,127,143,270
金山區,112,3,38歲,117,166,283
金山區,112,3,39歲,130,163,293
金山區,112,3,40歲,151,187,338
金山區,112,3,41歲,167,193,360
金山區,112,3,42歲,150,169,319
金山區,112,3,43歲,170,179,349
金山區,112,3,44歲,179,219,398
金山區,112,3,45歲,178,195,373
金山區,112,3,46歲,178,176,354
金山區,112,3,47歲,148,169,317
金山區,112,3,48歲,174,199,373
金山區,112,3,49歲,171,162,333
金山區,112,3,50歲,169,155,324
金山區,112,3,51歲,171,171,342
金山區,112,3,52歲,186,175,361
金山區,112,3,53歲,210,179,389
金山區,112,3,54歲,193,176,369
金山區,112,3,55歲,183,200,383
金山區,112,3,56歲,190,179,369
金山區,112,3,57歲,168,180,348
金山區,112,3,58歲,205,171,376
金山區,112,3,59歲,180,164,344
金山區,112,3,60歲,183,181,364
金山區,112,3,61歲,175,156,331
金山區,112,3,62歲,165,154,319
金山區,112,3,63歲,168,149,317
金山區,112,3,64歲,153,171,324
金山區,112,3,65歲,142,147,289
金山區,112,3,66歲,139,155,294
金山區,112,3,67歲,132,115,247
金山區,112,3,68歲,108,111,219
金山區,112,3,69歲,127,132,259
金山區,112,3,70歲,106,119,225
金山區,112,3,71歲,109,116,225
金山區,112,3,72歲,108,113,221
金山區,112,3,73歲,85,109,194
金山區,112,3,74歲,68,81,149
金山區,112,3,75歲,68,69,137
金山區,112,3,76歲,62,49,111
金山區,112,3,77歲,29,39,68
金山區,112,3,78歲,60,70,130
金山區,112,3,79歲,54,70,124
金山區,112,3,80歲,55,47,102
金山區,112,3,81歲,58,60,118
金山區,112,3,82歲,56,54,110
金山區,112,3,83歲,40,62,102
金山區,112,3,84歲,37,46,83
金山區,112,3,85歲,35,45,80
金山區,112,3,86歲,25,42,67
金山區,112,3,87歲,38,37,75
金山區,112,3,88歲,19,28,47
金山區,112,3,89歲,18,27,45
金山區,112,3,90歲,11,29,40
金山區,112,3,91歲,11,20,31
金山區,112,3,92歲,17,23,40
金山區,112,3,93歲,4,15,19
金山區,112,3,94歲,9,13,22
金山區,112,3,95歲,2,3,5
金山區,112,3,96歲,5,8,13
金山區,112,3,97歲,4,4,8
金山區,112,3,98歲,0,4,4
金山區,112,3,99歲,3,4,7
金山區,112,3,100歲以上,1,2,3
總計,,,,10118,10433,20551


              
