¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
Âù·Ë°Ï,112,8,0·³,12,8,20
Âù·Ë°Ï,112,8,1·³,15,11,26
Âù·Ë°Ï,112,8,2·³,10,14,24
Âù·Ë°Ï,112,8,3·³,11,12,23
Âù·Ë°Ï,112,8,4·³,10,13,23
Âù·Ë°Ï,112,8,5·³,9,15,24
Âù·Ë°Ï,112,8,6·³,13,18,31
Âù·Ë°Ï,112,8,7·³,22,10,32
Âù·Ë°Ï,112,8,8·³,21,13,34
Âù·Ë°Ï,112,8,9·³,18,20,38
Âù·Ë°Ï,112,8,10·³,19,14,33
Âù·Ë°Ï,112,8,11·³,16,21,37
Âù·Ë°Ï,112,8,12·³,14,20,34
Âù·Ë°Ï,112,8,13·³,17,14,31
Âù·Ë°Ï,112,8,14·³,26,13,39
Âù·Ë°Ï,112,8,15·³,29,25,54
Âù·Ë°Ï,112,8,16·³,29,17,46
Âù·Ë°Ï,112,8,17·³,28,30,58
Âù·Ë°Ï,112,8,18·³,24,30,54
Âù·Ë°Ï,112,8,19·³,33,20,53
Âù·Ë°Ï,112,8,20·³,39,28,67
Âù·Ë°Ï,112,8,21·³,36,35,71
Âù·Ë°Ï,112,8,22·³,33,42,75
Âù·Ë°Ï,112,8,23·³,35,31,66
Âù·Ë°Ï,112,8,24·³,36,34,70
Âù·Ë°Ï,112,8,25·³,41,40,81
Âù·Ë°Ï,112,8,26·³,49,33,82
Âù·Ë°Ï,112,8,27·³,41,51,92
Âù·Ë°Ï,112,8,28·³,38,46,84
Âù·Ë°Ï,112,8,29·³,59,55,114
Âù·Ë°Ï,112,8,30·³,36,35,71
Âù·Ë°Ï,112,8,31·³,45,30,75
Âù·Ë°Ï,112,8,32·³,43,43,86
Âù·Ë°Ï,112,8,33·³,42,34,76
Âù·Ë°Ï,112,8,34·³,39,36,75
Âù·Ë°Ï,112,8,35·³,34,25,59
Âù·Ë°Ï,112,8,36·³,32,34,66
Âù·Ë°Ï,112,8,37·³,35,21,56
Âù·Ë°Ï,112,8,38·³,40,39,79
Âù·Ë°Ï,112,8,39·³,53,35,88
Âù·Ë°Ï,112,8,40·³,44,38,82
Âù·Ë°Ï,112,8,41·³,54,51,105
Âù·Ë°Ï,112,8,42·³,54,45,99
Âù·Ë°Ï,112,8,43·³,70,44,114
Âù·Ë°Ï,112,8,44·³,62,46,108
Âù·Ë°Ï,112,8,45·³,72,56,128
Âù·Ë°Ï,112,8,46·³,70,35,105
Âù·Ë°Ï,112,8,47·³,58,61,119
Âù·Ë°Ï,112,8,48·³,57,36,93
Âù·Ë°Ï,112,8,49·³,67,32,99
Âù·Ë°Ï,112,8,50·³,79,44,123
Âù·Ë°Ï,112,8,51·³,70,48,118
Âù·Ë°Ï,112,8,52·³,97,45,142
Âù·Ë°Ï,112,8,53·³,82,64,146
Âù·Ë°Ï,112,8,54·³,89,52,141
Âù·Ë°Ï,112,8,55·³,109,59,168
Âù·Ë°Ï,112,8,56·³,99,52,151
Âù·Ë°Ï,112,8,57·³,97,63,160
Âù·Ë°Ï,112,8,58·³,111,58,169
Âù·Ë°Ï,112,8,59·³,94,62,156
Âù·Ë°Ï,112,8,60·³,92,72,164
Âù·Ë°Ï,112,8,61·³,105,52,157
Âù·Ë°Ï,112,8,62·³,112,60,172
Âù·Ë°Ï,112,8,63·³,94,64,158
Âù·Ë°Ï,112,8,64·³,94,64,158
Âù·Ë°Ï,112,8,65·³,89,64,153
Âù·Ë°Ï,112,8,66·³,79,47,126
Âù·Ë°Ï,112,8,67·³,89,72,161
Âù·Ë°Ï,112,8,68·³,74,57,131
Âù·Ë°Ï,112,8,69·³,70,65,135
Âù·Ë°Ï,112,8,70·³,69,62,131
Âù·Ë°Ï,112,8,71·³,70,69,139
Âù·Ë°Ï,112,8,72·³,66,45,111
Âù·Ë°Ï,112,8,73·³,58,57,115
Âù·Ë°Ï,112,8,74·³,44,63,107
Âù·Ë°Ï,112,8,75·³,43,35,78
Âù·Ë°Ï,112,8,76·³,39,24,63
Âù·Ë°Ï,112,8,77·³,23,26,49
Âù·Ë°Ï,112,8,78·³,30,42,72
Âù·Ë°Ï,112,8,79·³,29,41,70
Âù·Ë°Ï,112,8,80·³,31,35,66
Âù·Ë°Ï,112,8,81·³,32,47,79
Âù·Ë°Ï,112,8,82·³,27,42,69
Âù·Ë°Ï,112,8,83·³,29,46,75
Âù·Ë°Ï,112,8,84·³,21,35,56
Âù·Ë°Ï,112,8,85·³,19,35,54
Âù·Ë°Ï,112,8,86·³,19,39,58
Âù·Ë°Ï,112,8,87·³,15,33,48
Âù·Ë°Ï,112,8,88·³,20,36,56
Âù·Ë°Ï,112,8,89·³,14,36,50
Âù·Ë°Ï,112,8,90·³,8,22,30
Âù·Ë°Ï,112,8,91·³,10,16,26
Âù·Ë°Ï,112,8,92·³,7,14,21
Âù·Ë°Ï,112,8,93·³,4,15,19
Âù·Ë°Ï,112,8,94·³,4,7,11
Âù·Ë°Ï,112,8,95·³,5,3,8
Âù·Ë°Ï,112,8,96·³,3,6,9
Âù·Ë°Ï,112,8,97·³,1,4,5
Âù·Ë°Ï,112,8,98·³,1,3,4
Âù·Ë°Ï,112,8,99·³,0,0,0
Âù·Ë°Ï,112,8,100·³¥H¤W,1,5,6
Á`­p,,,,4357,3616,7973


              
