¦æ¬F°Ï,¦~,¤ë,¦~ÄÖ,¨k,¤k,¦X­p
Åaºq°Ï,112,5,0·³,268,258,526
Åaºq°Ï,112,5,1·³,281,288,569
Åaºq°Ï,112,5,2·³,328,332,660
Åaºq°Ï,112,5,3·³,333,320,653
Åaºq°Ï,112,5,4·³,334,354,688
Åaºq°Ï,112,5,5·³,386,358,744
Åaºq°Ï,112,5,6·³,407,428,835
Åaºq°Ï,112,5,7·³,443,411,854
Åaºq°Ï,112,5,8·³,459,367,826
Åaºq°Ï,112,5,9·³,388,373,761
Åaºq°Ï,112,5,10·³,450,408,858
Åaºq°Ï,112,5,11·³,403,399,802
Åaºq°Ï,112,5,12·³,350,328,678
Åaºq°Ï,112,5,13·³,392,315,707
Åaºq°Ï,112,5,14·³,384,384,768
Åaºq°Ï,112,5,15·³,444,388,832
Åaºq°Ï,112,5,16·³,411,430,841
Åaºq°Ï,112,5,17·³,429,378,807
Åaºq°Ï,112,5,18·³,422,394,816
Åaºq°Ï,112,5,19·³,472,427,899
Åaºq°Ï,112,5,20·³,494,481,975
Åaºq°Ï,112,5,21·³,565,459,1024
Åaºq°Ï,112,5,22·³,654,578,1232
Åaºq°Ï,112,5,23·³,651,537,1188
Åaºq°Ï,112,5,24·³,624,527,1151
Åaºq°Ï,112,5,25·³,626,542,1168
Åaºq°Ï,112,5,26·³,652,646,1298
Åaºq°Ï,112,5,27·³,709,581,1290
Åaºq°Ï,112,5,28·³,703,554,1257
Åaºq°Ï,112,5,29·³,701,617,1318
Åaºq°Ï,112,5,30·³,679,658,1337
Åaºq°Ï,112,5,31·³,691,590,1281
Åaºq°Ï,112,5,32·³,723,595,1318
Åaºq°Ï,112,5,33·³,706,647,1353
Åaºq°Ï,112,5,34·³,755,647,1402
Åaºq°Ï,112,5,35·³,681,650,1331
Åaºq°Ï,112,5,36·³,633,606,1239
Åaºq°Ï,112,5,37·³,728,653,1381
Åaºq°Ï,112,5,38·³,822,744,1566
Åaºq°Ï,112,5,39·³,750,770,1520
Åaºq°Ï,112,5,40·³,827,861,1688
Åaºq°Ï,112,5,41·³,880,878,1758
Åaºq°Ï,112,5,42·³,812,835,1647
Åaºq°Ï,112,5,43·³,845,794,1639
Åaºq°Ï,112,5,44·³,790,788,1578
Åaºq°Ï,112,5,45·³,798,759,1557
Åaºq°Ï,112,5,46·³,837,757,1594
Åaºq°Ï,112,5,47·³,680,729,1409
Åaºq°Ï,112,5,48·³,675,688,1363
Åaºq°Ï,112,5,49·³,610,623,1233
Åaºq°Ï,112,5,50·³,591,641,1232
Åaºq°Ï,112,5,51·³,592,630,1222
Åaºq°Ï,112,5,52·³,677,685,1362
Åaºq°Ï,112,5,53·³,595,662,1257
Åaºq°Ï,112,5,54·³,676,715,1391
Åaºq°Ï,112,5,55·³,601,638,1239
Åaºq°Ï,112,5,56·³,655,634,1289
Åaºq°Ï,112,5,57·³,605,703,1308
Åaºq°Ï,112,5,58·³,624,672,1296
Åaºq°Ï,112,5,59·³,611,746,1357
Åaºq°Ï,112,5,60·³,656,761,1417
Åaºq°Ï,112,5,61·³,619,676,1295
Åaºq°Ï,112,5,62·³,661,712,1373
Åaºq°Ï,112,5,63·³,578,703,1281
Åaºq°Ï,112,5,64·³,615,680,1295
Åaºq°Ï,112,5,65·³,529,617,1146
Åaºq°Ï,112,5,66·³,484,628,1112
Åaºq°Ï,112,5,67·³,537,545,1082
Åaºq°Ï,112,5,68·³,512,552,1064
Åaºq°Ï,112,5,69·³,398,470,868
Åaºq°Ï,112,5,70·³,416,508,924
Åaºq°Ï,112,5,71·³,411,435,846
Åaºq°Ï,112,5,72·³,359,366,725
Åaºq°Ï,112,5,73·³,291,293,584
Åaºq°Ï,112,5,74·³,307,300,607
Åaºq°Ï,112,5,75·³,205,229,434
Åaºq°Ï,112,5,76·³,177,191,368
Åaºq°Ï,112,5,77·³,115,129,244
Åaºq°Ï,112,5,78·³,130,183,313
Åaºq°Ï,112,5,79·³,104,172,276
Åaºq°Ï,112,5,80·³,144,163,307
Åaºq°Ï,112,5,81·³,111,166,277
Åaºq°Ï,112,5,82·³,121,149,270
Åaºq°Ï,112,5,83·³,80,139,219
Åaºq°Ï,112,5,84·³,76,102,178
Åaºq°Ï,112,5,85·³,66,101,167
Åaºq°Ï,112,5,86·³,66,107,173
Åaºq°Ï,112,5,87·³,44,86,130
Åaºq°Ï,112,5,88·³,54,81,135
Åaºq°Ï,112,5,89·³,43,55,98
Åaºq°Ï,112,5,90·³,28,44,72
Åaºq°Ï,112,5,91·³,29,37,66
Åaºq°Ï,112,5,92·³,13,31,44
Åaºq°Ï,112,5,93·³,15,28,43
Åaºq°Ï,112,5,94·³,13,16,29
Åaºq°Ï,112,5,95·³,15,12,27
Åaºq°Ï,112,5,96·³,9,12,21
Åaºq°Ï,112,5,97·³,5,7,12
Åaºq°Ï,112,5,98·³,3,4,7
Åaºq°Ï,112,5,99·³,3,8,11
Åaºq°Ï,112,5,100·³¥H¤W,4,6,10
Á`­p,,,,44358,44364,88722


              
