"鄉鎮市區","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"臺北市松山區","中崙里","1438","1892464","1316","727","298","1560","3655.30","277.75"
"臺北市松山區","自強里","3063","3779338","1234","602","250","1421","2806.64","227.47"
"臺北市松山區","鵬程里","1844","1948080","1056","532","246","1246","1640.97","155.33"
"臺北市松山區","東榮里","2864","4331587","1512","723","287","1758","3365.64","222.53"
"臺北市松山區","介壽里","1545","1976673","1279","694","272","1526","1884.48","147.29"
"臺北市松山區","東勢里","1589","1929426","1214","606","260","1393","2065.42","170.10"
"臺北市松山區","東光里","2531","2807353","1109","588","237","1307","1967.25","177.36"
"臺北市松山區","中正里","3475","5295090","1524","847","340","1839","2281.21","149.71"
"臺北市松山區","復盛里","2178","1934643","888","531","233","1138","1081.49","121.75"
"臺北市松山區","復勢里","2340","2671131","1142","658","280","1384","1658.97","145.33"
"臺北市松山區","美仁里","1240","1527398","1232","689","282","1443","1673.23","135.84"
"臺北市松山區","吉仁里","1426","1670856","1172","627","264","1448","1623.11","138.53"
"臺北市松山區","精忠里","1572","2332869","1484","767","288","1674","4132.48","278.47"
"臺北市松山區","東昌里","937","1197450","1278","706","246","1514","2642.22","206.75"
"臺北市松山區","福成里","928","1279621","1379","683","281","1611","2151.57","156.03"
"臺北市松山區","中華里","2323","3750250","1614","840","336","1821","2932.58","181.65"
"臺北市松山區","吉祥里","3075","3228988","1050","587","263","1223","1542.77","146.92"
"臺北市松山區","新東里","1744","1676121","961","580","250","1232","1261.73","131.28"
"臺北市松山區","三民里","2438","2717151","1115","625","260","1320","1692.90","151.90"
"臺北市松山區","復建里","1631","1945889","1193","668","281","1529","1506.26","126.25"
"臺北市松山區","敦化里","2435","2951166","1212","650","275","1491","1983.46","163.65"
"臺北市松山區","安平里","2947","2554844","867","507","226","1063","1415.78","163.31"
"臺北市松山區","富錦里","1810","2023802","1118","580","262","1346","1688.15","150.98"
"臺北市松山區","莊敬里","1613","1360919","844","543","242","1054","1231.70","145.98"
"臺北市松山區","新益里","1634","1501434","919","538","231","1181","1196.40","130.20"
"臺北市松山區","富泰里","1647","1778738","1080","639","260","1371","1721.31","159.38"
"臺北市松山區","龍田里","3580","4930465","1377","838","354","1834","1634.41","118.67"
"臺北市松山區","慈祐里","2472","1957992","792","471","207","1006","994.82","125.60"
"臺北市松山區","復源里","1091","1357951","1245","692","290","1506","2329.02","187.12"
"臺北市松山區","民福里","2224","2028564","912","519","230","1099","1473.20","161.51"
"臺北市松山區","松基里","1381","2331520","1688","617","260","1440","9365.76","554.75"
"臺北市松山區","新聚里","2871","2768902","964","574","248","1158","1386.85","143.80"
"臺北市松山區","民有里","3362","4877613","1451","651","272","1489","3881.05","267.51"
"臺北市松山區","其他","382","352173","922","522","259","1098","1262.65","136.96"
"臺北市松山區","合計","69630","82668461","1187","628","265","1397","2542.54","214.15"
"臺北市大安區","建安里","1877","2697986","1437","705","263","1622","2799.37","194.75"
"臺北市大安區","通安里","1877","1974883","1052","544","243","1224","1704.95","162.04"
"臺北市大安區","民輝里","2563","4248300","1658","718","289","1824","2966.17","178.95"
"臺北市大安區","德安里","2042","3134307","1535","735","293","1726","2774.64","180.77"
"臺北市大安區","敦安里","2310","3811089","1650","821","346","1902","2715.20","164.58"
"臺北市大安區","光明里","1336","2117651","1585","849","337","1872","3366.57","212.39"
"臺北市大安區","永康里","1324","1863844","1408","770","317","1642","2464.48","175.07"
"臺北市大安區","福住里","2309","3711041","1607","827","324","1862","3225.53","200.69"
"臺北市大安區","仁愛里","2008","4104398","2044","832","321","1925","6347.72","310.55"
"臺北市大安區","義村里","2077","2255635","1086","582","238","1298","1570.52","144.61"
"臺北市大安區","臥龍里","749","1083428","1446","743","292","1699","2397.79","165.77"
"臺北市大安區","通化里","2118","2121892","1002","540","233","1130","1602.47","159.95"
"臺北市大安區","龍生里","2397","3568870","1489","752","301","1820","2603.23","174.84"
"臺北市大安區","新龍里","2402","3294670","1372","745","294","1692","2117.67","154.39"
"臺北市大安區","住安里","1784","2063123","1156","570","247","1264","2286.99","197.76"
"臺北市大安區","錦泰里","1384","1965457","1420","832","284","1806","1873.72","131.94"
"臺北市大安區","建倫里","2254","3828469","1699","783","295","1791","6719.09","395.58"
"臺北市大安區","錦華里","2107","3110893","1476","856","341","1913","2045.31","138.53"
"臺北市大安區","光武里","2646","3087181","1167","662","261","1377","2633.21","225.69"
"臺北市大安區","仁慈里","1929","3062097","1587","799","317","1927","2805.20","176.72"
"臺北市大安區","黎孝里","2645","2314873","875","541","251","1138","1032.49","117.97"
"臺北市大安區","民炤里","3093","4933518","1595","810","310","1874","2701.01","169.34"
"臺北市大安區","昌隆里","1237","1767204","1429","703","282","1596","2412.92","168.90"
"臺北市大安區","黎和里","1600","1600925","1001","551","242","1267","1258.76","125.80"
