name,star,comment,class,address,latitude,longitude
新光三越 台北南西店一館,4.1,19,百貨公司,台北市中山區南京西路12號,25.0523201,121.5210989
新光三越 台北南西店三館,4.1,3,百貨公司,台北市中山區南京西路15號,25.0527564,121.5206878
欣欣大眾百貨,3.9,3,百貨公司,台北市中山區林森北路247號,25.0541812,121.5256281
Porter International 新光三越台北南西店_三館,4.6,58,百貨公司,台北市中山區南京西路15號2F,25.0527485,121.5206836
新光三越台北南西店-台灣櫻花Electrolux伊萊克斯,5.0,26,百貨公司,"樓, No. 12號南京西路中山區台北市10491",25.0523038,121.5211048
Marc Jacobs新光三越南西本館,5.0,29,百貨公司,台北市中山區南京西路12號號2樓,25.0523039,121.5211048
Phiten銀谷專櫃 南西新光三越一館,3.7,3,百貨公司,台北市中山區南京西路一段12號8樓,25.0520849,121.5211282
va vendome aoyama+南西誠品店1F,4.8,66,百貨公司,台北市中山區南京西路14號,25.052187,121.5206641
品木宣言 南西一館,0.0,0,百貨公司,台北市中山區南京西路12號1F,25.05196,121.5211207
省多多生活百貨,4.4,50,百貨公司,台北市中山區興安街97號,25.0561914,121.5434255
Golden Goose Deluxe Brand 晶華酒店,3.7,3,百貨公司,"B1, No. 3號中山北路二段39巷中山區台北市104",25.0541778,121.524244
HABU童鞋 新光三越台北南西店6F,0.0,0,百貨公司,台北市中山區南京西路12號6樓,25.0523174,121.5213066
美安SHOP.COM經銷商 民權西路,0.0,0,百貨公司,台北市中山區民權西路60號3樓,25.0625922,121.5202115
永隆生活百貨,4.5,2,百貨公司,台北市大同區南京西路141號,25.054138,121.513817
AISLE by abcense南西店,5.0,1,百貨公司,台北市中山區南京西路14號,25.052036,121.5206887
莉絲百貨行,0.0,0,百貨公司,台北市中山區龍江路276號1樓,25.0607899,121.5406354
鈺洋精品,0.0,0,百貨公司,台北市中山區復興北路46號,25.0495085,121.5437369
誠品生活南西,4.4,7,百貨公司,台北市中山區南京西路14號,25.0521315,121.520677
Wenzday NOKE忠泰樂生活,4.0,7,百貨公司,台北市中山區樂群三路200號1樓,25.0822446,121.5570625
金興發生活百貨 南西門市,4.1,2,家居用品店,台北市中山區南京西路5-1號,25.0525528,121.5214083
Jstar璽星珠寶 新光三越南西店4F,4.2,5,百貨公司,台北市中山區南京西路12號,25.0520855,121.5211034
盧富美,0.0,0,百貨公司,台北市中山區雙城街10巷37號2樓,25.0642362,121.5232116
美麗新廣場 大直館 MIRANEW SQUARE Dazhi,3.9,675,購物中心,台北市中山區北安路780號,25.0849899,121.5537244
Porter International 美麗華百樂園,4.4,33,百貨公司,台北市中山區敬業三路20號1F(漾館,25.0830577,121.5568015
新光三越 台北站前店,4.0,17,百貨公司,台北市中正區忠孝西路一段66號,25.0459441,121.5153112
邵氏百貨商社。竣茂菖百貨號°,3.0,2,百貨公司,"台北市中正區台北市民大道ㄧ段100號°B1台北地下街服飾二區140號°（y8,y10）中間店家°",25.0486675,121.516062
桑原精品百貨,5.0,1,百貨公司,台北市中正區寧波西街15號,25.0313642,121.5184808
Porter International 站前新光三越,4.9,58,百貨公司,"F, No. 66號忠孝西路一段中正區台北市10018",25.0461278,121.515325
新光三越台北站前店-台灣櫻花Electrolux伊萊克斯,4.7,15,百貨公司,台北市中正區忠孝西路一段66號9樓,25.0461224,121.515271
鼎隆百貨,4.2,99,百貨公司,台北市中正區武昌街一段42號,25.0439671,121.5117525
The Young Plaza,0.0,0,百貨公司,台北市中正區忠孝西路一段50號,25.0462219,121.51583
錦秀精品百貨,0.0,0,百貨公司,台北市中正區連雲街85號,25.034135,121.530169
司席世紀有限公司,0.0,0,百貨公司,台北市中正區忠孝西路一段33號7樓,25.046124,121.5187582
EVEREST LOTUS TRADING CO LTD,0.0,0,百貨公司,台北市中正區和平西路二段13號,25.0282457,121.5140054
香港商席伊麗亞洲有限公司臺灣分公司,0.0,0,百貨公司,台北市中正區仁愛路一段45號1樓,25.0387817,121.5240645
良華行百貨(日本生活用品進口百貨),3.7,22,百貨公司,台北市中正區重慶南路一段88號1樓,25.043012,121.5130316
城中地下商場,0.0,0,百貨公司,台北市中正區漢口街一段80巷6弄1號B1,25.0447435,121.5121602
YSL 新光三越站前店,3.8,11,百貨公司,台北市中正區忠孝西路一段66號,25.045919,121.5152641
洲全生活館有限公司,4.1,67,家居用品店,台北市信義區信義路二段169號,25.03406,121.529061
台北車站K區地下街,4.2,1,百貨公司,台北市中正區忠孝西路一段47號B1,25.0476024,121.5162965
BODYGREEN 三創生活園區門市,5.0,159,百貨公司,台北市中正區市民大道三段2號4F,25.0454246,121.5313973
三商行股份有限公司,0.0,0,百貨公司,台北市 萬華區峨嵋街49號2樓,25.0436518,121.5067994
來萊生活百貨,4.0,123,家居用品店,台北市中正區連雲街89號,25.034063,121.530158
遠東百貨 台北寶慶店,3.9,4,百貨公司,台北市中正區寶慶路32號,25.0415609,121.5091182
JUST BLOOM 新光三越站前店,5.0,109,百貨公司,台北市中正區忠孝西路一段66號2樓,25.0460968,121.5153037
阿原YUAN-台北微風車站,4.7,23,百貨公司,台北市北平西路3號一門1樓(東,25.047702,121.5173735
嘉績百貨企業股份有限公司,0.0,0,百貨公司,台灣台北市 大安區忠孝東路四段45號7樓,25.04194,121.5449137
三花SUN FLOWER 微風北車 襪 襪子 四角褲 男內衣,4.6,20,百貨公司,台北市中正區北平西路3號西一門2F(近,25.046849,121.5176077
